@RELATION	'emotions'

@ATTRIBUTE	eyes	NUMERIC
@ATTRIBUTE	eyes2	NUMERIC
@ATTRIBUTE	mouth	NUMERIC
@ATTRIBUTE	s_0	NUMERIC
@ATTRIBUTE	s_1	NUMERIC
@ATTRIBUTE	s_2	NUMERIC
@ATTRIBUTE	s_3	NUMERIC
@ATTRIBUTE	s_4	NUMERIC
@ATTRIBUTE	cpt_0	NUMERIC
@ATTRIBUTE	cpt_1	NUMERIC
@ATTRIBUTE	cpt_2	NUMERIC
@ATTRIBUTE	cpt_3	NUMERIC
@ATTRIBUTE	cpt_4	NUMERIC
@ATTRIBUTE	cpt_5	NUMERIC
@ATTRIBUTE	cpt_6	NUMERIC
@ATTRIBUTE	cpt_7	NUMERIC
@ATTRIBUTE	cpt_8	NUMERIC
@ATTRIBUTE	emotion	{AN,DI,FE,HA,NE,SA,SU}

@DATA
0, 0, 0, 0, 0, 0, 0, 0, 415, 361, 436, 448, 559, 504, 306, 461, 225, AN
0, 0, 0, 0, 0, 0, 0, 0, 416, 338, 438, 447, 575, 503, 308, 435, 213, AN
0, 0, 0, 0, 0, 0, 0, 0, 375, 478, 560, 490, 507, 504, 367, 576, 432, AN
0, 0, 0, 0, 0, 0, 0, 0, 400, 312, 464, 376, 514, 514, 295, 567, 393, AN
0, 0, 0, 0, 0, 0, 0, 0, 393, 309, 484, 389, 508, 498, 288, 534, 375, AN
0, 0, 0, 0, 0, 0, 0, 0, 377, 280, 448, 356, 497, 485, 301, 533, 388, AN
0, 0, 0, 0, 0, 0, 0, 0, 396, 218, 431, 434, 574, 496, 304, 466, 314, AN
0, 0, 0, 0, 0, 0, 0, 0, 233, 217, 276, 484, 493, 376, 325, 616, 398, AN
0, 0, 0, 0, 0, 0, 0, 0, 176, 187, 229, 416, 469, 305, 280, 547, 422, AN
0, 0, 0, 0, 0, 0, 0, 0, 180, 190, 362, 335, 490, 477, 423, 612, 404, AN
0, 0, 0, 0, 0, 0, 0, 0, 167, 195, 358, 369, 498, 402, 409, 622, 421, AN
0, 0, 0, 0, 0, 0, 0, 0, 243, 291, 369, 420, 429, 399, 273, 592, 329, AN
0, 0, 0, 0, 0, 0, 0, 0, 237, 238, 296, 422, 518, 424, 276, 682, 387, AN
0, 0, 0, 0, 0, 0, 0, 0, 278, 278, 322, 412, 461, 413, 323, 615, 328, AN
0, 0, 0, 0, 0, 0, 0, 0, 304, 448, 550, 327, 389, 273, 501, 349, 319, AN
0, 0, 0, 0, 0, 0, 0, 0, 254, 432, 498, 283, 318, 153, 329, 235, 232, AN
0, 0, 0, 0, 0, 0, 0, 0, 262, 380, 419, 303, 486, 355, 426, 512, 420, AN
0, 0, 0, 0, 0, 0, 0, 0, 429, 227, 453, 473, 604, 518, 311, 556, 300, DI
0, 0, 0, 0, 0, 0, 0, 0, 437, 213, 426, 441, 603, 497, 284, 559, 292, DI
0, 0, 0, 0, 0, 0, 0, 0, 240, 321, 320, 367, 516, 446, 313, 549, 308, DI
0, 0, 0, 0, 0, 0, 0, 0, 236, 225, 329, 405, 483, 427, 227, 636, 300, DI
0, 0, 0, 0, 0, 0, 0, 0, 216, 237, 305, 420, 484, 420, 232, 642, 332, DI
0, 0, 0, 0, 0, 0, 0, 0, 450, 421, 568, 525, 503, 497, 407, 670, 456, DI
0, 0, 0, 0, 0, 0, 0, 0, 424, 379, 497, 487, 505, 492, 348, 632, 416, DI
0, 0, 0, 0, 0, 0, 0, 0, 445, 414, 515, 550, 555, 540, 398, 542, 425, DI
0, 0, 0, 0, 0, 0, 0, 0, 447, 369, 593, 508, 501, 549, 416, 506, 450, DI
0, 0, 0, 0, 0, 0, 0, 0, 437, 352, 593, 480, 501, 548, 415, 512, 453, DI
0, 0, 0, 0, 0, 0, 0, 0, 438, 421, 539, 501, 562, 511, 255, 543, 302, DI
0, 0, 0, 0, 0, 0, 0, 0, 376, 480, 582, 492, 551, 556, 309, 643, 373, DI
0, 0, 0, 0, 0, 0, 0, 0, 417, 193, 434, 481, 612, 496, 306, 540, 253, DI
0, 0, 0, 0, 0, 0, 0, 0, 427, 238, 432, 378, 525, 493, 299, 526, 394, DI
0, 0, 0, 0, 0, 0, 0, 0, 450, 264, 458, 383, 540, 497, 328, 545, 452, DI
0, 0, 0, 0, 0, 0, 0, 0, 395, 282, 437, 414, 488, 443, 304, 559, 354, DI
