@RELATION	'emotions'

@ATTRIBUTE	eyes	NUMERIC
@ATTRIBUTE	eyes2	NUMERIC
@ATTRIBUTE	mouth	NUMERIC
@ATTRIBUTE	s_0	NUMERIC
@ATTRIBUTE	s_1	NUMERIC
@ATTRIBUTE	s_2	NUMERIC
@ATTRIBUTE	s_3	NUMERIC
@ATTRIBUTE	s_4	NUMERIC
@ATTRIBUTE	cpt_0	NUMERIC
@ATTRIBUTE	cpt_1	NUMERIC
@ATTRIBUTE	cpt_2	NUMERIC
@ATTRIBUTE	cpt_3	NUMERIC
@ATTRIBUTE	cpt_4	NUMERIC
@ATTRIBUTE	cpt_5	NUMERIC
@ATTRIBUTE	cpt_6	NUMERIC
@ATTRIBUTE	cpt_7	NUMERIC
@ATTRIBUTE	cpt_8	NUMERIC
@ATTRIBUTE	cpt_9	NUMERIC
@ATTRIBUTE	cpt_10	NUMERIC
@ATTRIBUTE	cpt_11	NUMERIC
@ATTRIBUTE	cpt_12	NUMERIC
@ATTRIBUTE	cpt_13	NUMERIC
@ATTRIBUTE	cpt_14	NUMERIC
@ATTRIBUTE	cpt_15	NUMERIC
@ATTRIBUTE	emotion	{AN,DI,FE,HA,NE,SA,SU}

@DATA
0, 0, 0, 0, 0, 0, 0, 0, 196, 173, 143, 252, 294, 406, 375, 260, 215, 214, 219, 247, 200, 255, 231, 116, AN
0, 0, 0, 0, 0, 0, 0, 0, 220, 139, 135, 242, 280, 421, 376, 279, 214, 221, 228, 241, 191, 246, 210, 111, AN
0, 0, 0, 0, 0, 0, 0, 0, 175, 234, 227, 304, 291, 351, 306, 364, 287, 249, 251, 280, 191, 294, 357, 228, AN
0, 0, 0, 0, 0, 0, 0, 0, 210, 113, 117, 257, 253, 367, 336, 324, 187, 250, 289, 222, 183, 238, 318, 230, AN
0, 0, 0, 0, 0, 0, 0, 0, 205, 102, 117, 266, 270, 379, 348, 309, 174, 240, 270, 221, 183, 247, 271, 230, AN
0, 0, 0, 0, 0, 0, 0, 0, 191, 92, 111, 236, 264, 327, 331, 331, 166, 230, 257, 215, 193, 253, 310, 219, AN
0, 0, 0, 0, 0, 0, 0, 0, 202, 129, 49, 220, 244, 416, 371, 285, 238, 217, 225, 264, 155, 258, 265, 169, AN
0, 0, 0, 0, 0, 0, 0, 0, 107, 71, 99, 99, 277, 336, 316, 252, 252, 197, 268, 200, 172, 276, 397, 179, AN
0, 0, 0, 0, 0, 0, 0, 0, 56, 39, 82, 78, 245, 317, 275, 235, 213, 168, 248, 159, 198, 251, 362, 214, AN
0, 0, 0, 0, 0, 0, 0, 0, 72, 78, 61, 178, 170, 314, 336, 345, 205, 208, 216, 205, 240, 324, 400, 190, AN
0, 0, 0, 0, 0, 0, 0, 0, 55, 56, 82, 175, 195, 322, 317, 311, 224, 219, 233, 218, 239, 322, 414, 207, AN
0, 0, 0, 0, 0, 0, 0, 0, 78, 110, 102, 156, 257, 337, 311, 280, 189, 269, 226, 214, 124, 262, 319, 170, AN
0, 0, 0, 0, 0, 0, 0, 0, 72, 80, 86, 122, 281, 362, 305, 246, 176, 245, 227, 242, 142, 363, 427, 182, AN
0, 0, 0, 0, 0, 0, 0, 0, 97, 101, 95, 118, 303, 358, 303, 285, 162, 253, 213, 234, 180, 316, 304, 192, AN
0, 0, 0, 0, 0, 0, 0, 0, 159, 145, 322, 303, 182, 264, 302, 190, 260, 137, 216, 129, 299, 245, 194, 201, AN
0, 0, 0, 0, 0, 0, 0, 0, 143, 78, 355, 234, 163, 268, 210, 194, 183, 96, 138, 75, 222, 171, 92, 186, AN
0, 0, 0, 0, 0, 0, 0, 0, 120, 176, 202, 207, 190, 321, 310, 263, 175, 192, 202, 160, 267, 290, 302, 259, AN
0, 0, 0, 0, 0, 0, 0, 0, 217, 84, 64, 259, 295, 422, 378, 320, 222, 253, 259, 257, 197, 294, 267, 145, DI
0, 0, 0, 0, 0, 0, 0, 0, 229, 81, 52, 226, 279, 428, 370, 317, 204, 262, 277, 245, 182, 265, 233, 159, DI
0, 0, 0, 0, 0, 0, 0, 0, 100, 100, 148, 145, 184, 380, 313, 275, 210, 243, 219, 220, 183, 289, 302, 153, DI
0, 0, 0, 0, 0, 0, 0, 0, 70, 77, 87, 157, 272, 343, 332, 239, 171, 222, 216, 239, 118, 294, 344, 153, DI
0, 0, 0, 0, 0, 0, 0, 0, 73, 76, 93, 129, 260, 341, 325, 241, 178, 245, 224, 230, 128, 287, 343, 173, DI
0, 0, 0, 0, 0, 0, 0, 0, 181, 206, 204, 257, 375, 394, 347, 379, 285, 284, 298, 269, 226, 318, 337, 244, DI
0, 0, 0, 0, 0, 0, 0, 0, 165, 186, 174, 215, 370, 413, 337, 364, 247, 251, 278, 245, 187, 275, 324, 229, DI
0, 0, 0, 0, 0, 0, 0, 0, 258, 212, 158, 270, 346, 408, 346, 390, 297, 261, 269, 264, 195, 281, 315, 224, DI
