@RELATION	'emotions'

@ATTRIBUTE	eyes	NUMERIC
@ATTRIBUTE	eyes2	NUMERIC
@ATTRIBUTE	mouth	NUMERIC
@ATTRIBUTE	s_0	NUMERIC
@ATTRIBUTE	s_1	NUMERIC
@ATTRIBUTE	s_2	NUMERIC
@ATTRIBUTE	s_3	NUMERIC
@ATTRIBUTE	s_4	NUMERIC
@ATTRIBUTE	cpt_0	NUMERIC
@ATTRIBUTE	cpt_1	NUMERIC
@ATTRIBUTE	cpt_2	NUMERIC
@ATTRIBUTE	cpt_3	NUMERIC
@ATTRIBUTE	cpt_4	NUMERIC
@ATTRIBUTE	cpt_5	NUMERIC
@ATTRIBUTE	cpt_6	NUMERIC
@ATTRIBUTE	cpt_7	NUMERIC
@ATTRIBUTE	cpt_8	NUMERIC
@ATTRIBUTE	cpt_9	NUMERIC
@ATTRIBUTE	cpt_10	NUMERIC
@ATTRIBUTE	cpt_11	NUMERIC
@ATTRIBUTE	cpt_12	NUMERIC
@ATTRIBUTE	cpt_13	NUMERIC
@ATTRIBUTE	cpt_14	NUMERIC
@ATTRIBUTE	cpt_15	NUMERIC
@ATTRIBUTE	cpt_16	NUMERIC
@ATTRIBUTE	cpt_17	NUMERIC
@ATTRIBUTE	cpt_18	NUMERIC
@ATTRIBUTE	cpt_19	NUMERIC
@ATTRIBUTE	cpt_20	NUMERIC
@ATTRIBUTE	cpt_21	NUMERIC
@ATTRIBUTE	cpt_22	NUMERIC
@ATTRIBUTE	cpt_23	NUMERIC
@ATTRIBUTE	cpt_24	NUMERIC
@ATTRIBUTE	cpt_25	NUMERIC
@ATTRIBUTE	cpt_26	NUMERIC
@ATTRIBUTE	cpt_27	NUMERIC
@ATTRIBUTE	cpt_28	NUMERIC
@ATTRIBUTE	cpt_29	NUMERIC
@ATTRIBUTE	cpt_30	NUMERIC
@ATTRIBUTE	cpt_31	NUMERIC
@ATTRIBUTE	cpt_32	NUMERIC
@ATTRIBUTE	cpt_33	NUMERIC
@ATTRIBUTE	cpt_34	NUMERIC
@ATTRIBUTE	cpt_35	NUMERIC
@ATTRIBUTE	cpt_36	NUMERIC
@ATTRIBUTE	cpt_37	NUMERIC
@ATTRIBUTE	cpt_38	NUMERIC
@ATTRIBUTE	cpt_39	NUMERIC
@ATTRIBUTE	cpt_40	NUMERIC
@ATTRIBUTE	cpt_41	NUMERIC
@ATTRIBUTE	cpt_42	NUMERIC
@ATTRIBUTE	cpt_43	NUMERIC
@ATTRIBUTE	cpt_44	NUMERIC
@ATTRIBUTE	cpt_45	NUMERIC
@ATTRIBUTE	cpt_46	NUMERIC
@ATTRIBUTE	cpt_47	NUMERIC
@ATTRIBUTE	cpt_48	NUMERIC
@ATTRIBUTE	cpt_49	NUMERIC
@ATTRIBUTE	cpt_50	NUMERIC
@ATTRIBUTE	cpt_51	NUMERIC
@ATTRIBUTE	cpt_52	NUMERIC
@ATTRIBUTE	cpt_53	NUMERIC
@ATTRIBUTE	cpt_54	NUMERIC
@ATTRIBUTE	cpt_55	NUMERIC
@ATTRIBUTE	cpt_56	NUMERIC
@ATTRIBUTE	cpt_57	NUMERIC
@ATTRIBUTE	cpt_58	NUMERIC
@ATTRIBUTE	cpt_59	NUMERIC
@ATTRIBUTE	cpt_60	NUMERIC
@ATTRIBUTE	cpt_61	NUMERIC
@ATTRIBUTE	cpt_62	NUMERIC
@ATTRIBUTE	cpt_63	NUMERIC
@ATTRIBUTE	cpt_64	NUMERIC
@ATTRIBUTE	cpt_65	NUMERIC
@ATTRIBUTE	cpt_66	NUMERIC
@ATTRIBUTE	cpt_67	NUMERIC
@ATTRIBUTE	cpt_68	NUMERIC
@ATTRIBUTE	cpt_69	NUMERIC
@ATTRIBUTE	cpt_70	NUMERIC
@ATTRIBUTE	cpt_71	NUMERIC
@ATTRIBUTE	cpt_72	NUMERIC
@ATTRIBUTE	cpt_73	NUMERIC
@ATTRIBUTE	cpt_74	NUMERIC
@ATTRIBUTE	cpt_75	NUMERIC
@ATTRIBUTE	cpt_76	NUMERIC
@ATTRIBUTE	cpt_77	NUMERIC
@ATTRIBUTE	cpt_78	NUMERIC
@ATTRIBUTE	cpt_79	NUMERIC
@ATTRIBUTE	cpt_80	NUMERIC
@ATTRIBUTE	emotion	{AN,DI,FE,HA,NE,SA,SU}

@DATA
0, 0, 0, 0, 0, 0, 0, 0, 54, 22, 36, 23, 27, 23, 31, 54, 72, 53, 28, 26, 35, 32, 13, 32, 41, 39, 83, 28, 85, 67, 78, 63, 74, 48, 45, 76, 39, 84, 72, 52, 77, 100, 70, 48, 69, 29, 30, 59, 29, 63, 55, 30, 54, 46, 51, 24, 75, 59, 73, 24, 39, 84, 14, 56, 20, 28, 34, 39, 13, 41, 37, 38, 60, 27, 81, 88, 77, 32, 31, 48, 50, 17, 24, 35, 47, 32, 16, 6, 1, AN
0, 0, 0, 0, 0, 0, 0, 0, 56, 18, 30, 27, 23, 19, 32, 48, 74, 56, 30, 21, 37, 15, 12, 37, 37, 39, 93, 19, 93, 69, 73, 63, 72, 43, 56, 72, 29, 91, 71, 50, 85, 95, 72, 50, 76, 34, 30, 66, 29, 62, 52, 34, 55, 32, 53, 30, 70, 61, 81, 26, 34, 85, 19, 54, 28, 29, 48, 39, 23, 36, 52, 48, 57, 24, 78, 75, 79, 26, 27, 27, 47, 10, 21, 19, 45, 23, 8, 9, 5, AN
0, 0, 0, 0, 0, 0, 0, 0, 6, 37, 41, 53, 43, 38, 44, 40, 72, 48, 26, 27, 55, 35, 47, 50, 43, 85, 87, 40, 63, 66, 71, 70, 71, 67, 88, 72, 34, 75, 36, 60, 69, 52, 81, 73, 68, 18, 43, 47, 50, 74, 40, 29, 69, 96, 45, 39, 52, 43, 76, 33, 49, 78, 26, 67, 34, 67, 33, 62, 45, 40, 60, 11, 73, 43, 69, 85, 111, 52, 45, 40, 12, 51, 50, 41, 54, 54, 56, 78, 16, AN
0, 0, 0, 0, 0, 0, 0, 0, 59, 30, 25, 19, 12, 16, 27, 63, 45, 61, 17, 35, 8, 13, 14, 36, 48, 54, 48, 46, 79, 89, 60, 81, 63, 44, 84, 29, 56, 77, 56, 50, 55, 75, 51, 74, 56, 25, 31, 45, 53, 67, 59, 18, 100, 44, 39, 19, 61, 47, 80, 36, 33, 68, 5, 58, 24, 66, 59, 58, 41, 38, 44, 16, 41, 34, 56, 87, 83, 52, 56, 22, 10, 82, 25, 35, 66, 57, 35, 46, 59, AN
0, 0, 0, 0, 0, 0, 0, 0, 64, 28, 21, 13, 11, 21, 29, 70, 46, 50, 23, 39, 10, 8, 13, 38, 50, 56, 45, 53, 70, 91, 64, 78, 60, 49, 86, 43, 49, 84, 63, 62, 48, 75, 36, 85, 63, 27, 25, 50, 50, 60, 55, 21, 85, 31, 44, 23, 56, 49, 70, 36, 35, 70, 10, 53, 23, 57, 58, 62, 37, 52, 22, 8, 61, 24, 68, 101, 87, 37, 62, 36, 23, 59, 27, 42, 31, 28, 34, 43, 52, AN
0, 0, 0, 0, 0, 0, 0, 0, 57, 22, 21, 20, 6, 23, 35, 49, 48, 52, 21, 25, 10, 8, 8, 30, 44, 56, 50, 49, 80, 75, 48, 82, 57, 39, 90, 57, 42, 75, 43, 66, 44, 63, 51, 99, 58, 19, 14, 45, 49, 62, 56, 17, 81, 18, 49, 24, 62, 41, 85, 24, 35, 59, 13, 54, 16, 54, 44, 60, 41, 35, 40, 18, 66, 27, 63, 79, 75, 55, 41, 52, 16, 53, 38, 42, 60, 56, 36, 35, 53, AN
0, 0, 0, 0, 0, 0, 0, 0, 48, 24, 20, 10, 5, 2, 15, 31, 62, 55, 28, 25, 9, 9, 7, 18, 32, 62, 64, 31, 101, 97, 30, 49, 92, 66, 53, 52, 34, 92, 81, 54, 84, 89, 58, 49, 67, 32, 35, 52, 33, 64, 57, 36, 57, 62, 32, 28, 58, 67, 81, 21, 35, 94, 50, 38, 36, 32, 34, 57, 18, 55, 23, 56, 43, 35, 76, 104, 80, 37, 38, 48, 0, 20, 26, 22, 33, 28, 39, 14, 42, AN
0, 0, 0, 0, 0, 0, 0, 0, 27, 28, 20, 15, 13, 11, 15, 21, 9, 1, 27, 20, 10, 15, 26, 20, 34, 15, 30, 26, 54, 58, 15, 54, 71, 60, 31, 86, 34, 93, 58, 72, 65, 66, 60, 62, 80, 22, 28, 45, 32, 58, 32, 18, 46, 94, 24, 23, 34, 50, 79, 13, 20, 59, 40, 54, 19, 49, 72, 78, 54, 30, 51, 2, 56, 42, 70, 64, 98, 82, 37, 42, 8, 56, 48, 43, 66, 76, 46, 46, 10, AN
0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 17, 4, 10, 8, 10, 19, 9, 0, 25, 13, 5, 8, 25, 14, 20, 6, 15, 32, 63, 61, 15, 51, 61, 64, 26, 82, 26, 71, 45, 65, 60, 56, 58, 50, 76, 25, 20, 37, 38, 57, 21, 16, 40, 95, 14, 7, 36, 54, 77, 6, 8, 50, 16, 46, 8, 48, 54, 70, 56, 12, 57, 0, 48, 38, 71, 58, 79, 86, 25, 46, 16, 68, 40, 40, 57, 70, 44, 20, 76, AN
0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 18, 15, 1, 4, 5, 30, 50, 0, 22, 18, 12, 2, 21, 24, 33, 46, 0, 23, 68, 67, 15, 53, 69, 50, 55, 17, 36, 89, 44, 62, 53, 76, 55, 96, 48, 27, 28, 51, 39, 59, 41, 22, 81, 46, 26, 18, 44, 61, 77, 13, 17, 76, 82, 31, 27, 51, 60, 52, 43, 22, 64, 44, 38, 47, 80, 86, 91, 72, 33, 41, 22, 77, 55, 35, 78, 79, 50, 74, 5, AN
