@RELATION	'emotions'

@ATTRIBUTE	eyes	NUMERIC
@ATTRIBUTE	eyes2	NUMERIC
@ATTRIBUTE	mouth	NUMERIC
@ATTRIBUTE	s_0	NUMERIC
@ATTRIBUTE	s_1	NUMERIC
@ATTRIBUTE	s_2	NUMERIC
@ATTRIBUTE	s_3	NUMERIC
@ATTRIBUTE	s_4	NUMERIC
@ATTRIBUTE	cpt_0	NUMERIC
@ATTRIBUTE	cpt_1	NUMERIC
@ATTRIBUTE	cpt_2	NUMERIC
@ATTRIBUTE	cpt_3	NUMERIC
@ATTRIBUTE	cpt_4	NUMERIC
@ATTRIBUTE	cpt_5	NUMERIC
@ATTRIBUTE	cpt_6	NUMERIC
@ATTRIBUTE	cpt_7	NUMERIC
@ATTRIBUTE	cpt_8	NUMERIC
@ATTRIBUTE	cpt_9	NUMERIC
@ATTRIBUTE	cpt_10	NUMERIC
@ATTRIBUTE	cpt_11	NUMERIC
@ATTRIBUTE	cpt_12	NUMERIC
@ATTRIBUTE	cpt_13	NUMERIC
@ATTRIBUTE	cpt_14	NUMERIC
@ATTRIBUTE	cpt_15	NUMERIC
@ATTRIBUTE	cpt_16	NUMERIC
@ATTRIBUTE	cpt_17	NUMERIC
@ATTRIBUTE	cpt_18	NUMERIC
@ATTRIBUTE	cpt_19	NUMERIC
@ATTRIBUTE	cpt_20	NUMERIC
@ATTRIBUTE	cpt_21	NUMERIC
@ATTRIBUTE	cpt_22	NUMERIC
@ATTRIBUTE	cpt_23	NUMERIC
@ATTRIBUTE	cpt_24	NUMERIC
@ATTRIBUTE	cpt_25	NUMERIC
@ATTRIBUTE	cpt_26	NUMERIC
@ATTRIBUTE	cpt_27	NUMERIC
@ATTRIBUTE	cpt_28	NUMERIC
@ATTRIBUTE	cpt_29	NUMERIC
@ATTRIBUTE	cpt_30	NUMERIC
@ATTRIBUTE	cpt_31	NUMERIC
@ATTRIBUTE	cpt_32	NUMERIC
@ATTRIBUTE	cpt_33	NUMERIC
@ATTRIBUTE	cpt_34	NUMERIC
@ATTRIBUTE	cpt_35	NUMERIC
@ATTRIBUTE	cpt_36	NUMERIC
@ATTRIBUTE	cpt_37	NUMERIC
@ATTRIBUTE	cpt_38	NUMERIC
@ATTRIBUTE	cpt_39	NUMERIC
@ATTRIBUTE	cpt_40	NUMERIC
@ATTRIBUTE	cpt_41	NUMERIC
@ATTRIBUTE	cpt_42	NUMERIC
@ATTRIBUTE	cpt_43	NUMERIC
@ATTRIBUTE	cpt_44	NUMERIC
@ATTRIBUTE	cpt_45	NUMERIC
@ATTRIBUTE	cpt_46	NUMERIC
@ATTRIBUTE	cpt_47	NUMERIC
@ATTRIBUTE	cpt_48	NUMERIC
@ATTRIBUTE	cpt_49	NUMERIC
@ATTRIBUTE	cpt_50	NUMERIC
@ATTRIBUTE	cpt_51	NUMERIC
@ATTRIBUTE	cpt_52	NUMERIC
@ATTRIBUTE	cpt_53	NUMERIC
@ATTRIBUTE	cpt_54	NUMERIC
@ATTRIBUTE	cpt_55	NUMERIC
@ATTRIBUTE	cpt_56	NUMERIC
@ATTRIBUTE	cpt_57	NUMERIC
@ATTRIBUTE	cpt_58	NUMERIC
@ATTRIBUTE	cpt_59	NUMERIC
@ATTRIBUTE	cpt_60	NUMERIC
@ATTRIBUTE	cpt_61	NUMERIC
@ATTRIBUTE	cpt_62	NUMERIC
@ATTRIBUTE	cpt_63	NUMERIC
@ATTRIBUTE	cpt_64	NUMERIC
@ATTRIBUTE	cpt_65	NUMERIC
@ATTRIBUTE	cpt_66	NUMERIC
@ATTRIBUTE	cpt_67	NUMERIC
@ATTRIBUTE	cpt_68	NUMERIC
@ATTRIBUTE	cpt_69	NUMERIC
@ATTRIBUTE	cpt_70	NUMERIC
@ATTRIBUTE	cpt_71	NUMERIC
@ATTRIBUTE	cpt_72	NUMERIC
@ATTRIBUTE	cpt_73	NUMERIC
@ATTRIBUTE	cpt_74	NUMERIC
@ATTRIBUTE	cpt_75	NUMERIC
@ATTRIBUTE	cpt_76	NUMERIC
@ATTRIBUTE	cpt_77	NUMERIC
@ATTRIBUTE	cpt_78	NUMERIC
@ATTRIBUTE	cpt_79	NUMERIC
@ATTRIBUTE	cpt_80	NUMERIC
@ATTRIBUTE	cpt_81	NUMERIC
@ATTRIBUTE	cpt_82	NUMERIC
@ATTRIBUTE	cpt_83	NUMERIC
@ATTRIBUTE	cpt_84	NUMERIC
@ATTRIBUTE	cpt_85	NUMERIC
@ATTRIBUTE	cpt_86	NUMERIC
@ATTRIBUTE	cpt_87	NUMERIC
@ATTRIBUTE	cpt_88	NUMERIC
@ATTRIBUTE	cpt_89	NUMERIC
@ATTRIBUTE	cpt_90	NUMERIC
@ATTRIBUTE	cpt_91	NUMERIC
@ATTRIBUTE	cpt_92	NUMERIC
@ATTRIBUTE	cpt_93	NUMERIC
@ATTRIBUTE	cpt_94	NUMERIC
@ATTRIBUTE	cpt_95	NUMERIC
@ATTRIBUTE	cpt_96	NUMERIC
@ATTRIBUTE	cpt_97	NUMERIC
@ATTRIBUTE	cpt_98	NUMERIC
@ATTRIBUTE	cpt_99	NUMERIC
@ATTRIBUTE	emotion	{AN,DI,FE,HA,NE,SA,SU}

@DATA
0, 0, 1, 0, 0, 0, 0, 0, 14, 15, 25, 19, 31, 24, 11, 20, 2, 0, 32, 5, 1, 1, 35, 33, 23, 5, 7, 18, 9, 45, 1, 3, 9, 31, 8, 5, 10, 1, 2, 54, 30, 46, 35, 49, 29, 39, 15, 23, 47, 49, 43, 59, 64, 30, 60, 57, 35, 46, 41, 25, 1, 3, 44, 27, 20, 8, 0, 63, 29, 7, 12, 54, 61, 54, 51, 28, 0, 59, 4, 48, 41, 59, 49, 80, 23, 34, 12, 32, 18, 39, 16, 38, 53, 62, 49, 28, 26, 33, 9, 21, 43, 9, 31, 37, 22, 14, 50, 22, HA
0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 34, 14, 27, 13, 9, 11, 9, 2, 12, 7, 3, 7, 43, 31, 28, 3, 1, 19, 5, 32, 0, 0, 0, 37, 6, 7, 4, 13, 1, 53, 41, 67, 63, 39, 49, 49, 16, 33, 42, 38, 41, 45, 60, 30, 44, 54, 37, 33, 64, 10, 1, 1, 37, 20, 17, 4, 1, 33, 52, 13, 2, 1, 72, 71, 59, 1, 3, 27, 26, 25, 7, 3, 36, 55, 18, 1, 4, 18, 19, 45, 5, 42, 61, 81, 52, 31, 3, 35, 20, 41, 4, 29, 51, 36, 47, 14, 3, 43, NE
0, 0, 0, 0, 0, 0, 0, 0, 9, 36, 23, 27, 27, 10, 6, 16, 6, 0, 13, 8, 15, 20, 26, 33, 23, 0, 1, 10, 0, 20, 10, 16, 43, 11, 3, 11, 21, 5, 6, 41, 40, 37, 27, 44, 40, 42, 24, 24, 47, 11, 48, 51, 57, 36, 56, 59, 20, 52, 78, 5, 3, 5, 46, 41, 11, 0, 0, 59, 49, 10, 2, 0, 75, 49, 45, 1, 3, 52, 23, 24, 4, 4, 49, 61, 45, 6, 3, 31, 36, 30, 2, 39, 40, 61, 30, 34, 2, 50, 10, 43, 8, 17, 54, 33, 51, 17, 46, 18, SA
0, 0, 0, 0, 0, 0, 0, 0, 47, 9, 44, 21, 26, 28, 20, 21, 4, 3, 53, 16, 19, 13, 35, 33, 23, 18, 18, 15, 48, 17, 26, 44, 8, 45, 7, 10, 4, 2, 50, 51, 43, 52, 44, 30, 37, 74, 18, 24, 54, 54, 30, 65, 49, 25, 53, 64, 31, 33, 27, 50, 1, 5, 32, 28, 22, 18, 0, 34, 16, 35, 4, 18, 67, 67, 49, 3, 0, 51, 19, 29, 21, 31, 15, 32, 22, 15, 1, 31, 3, 39, 10, 48, 44, 33, 48, 4, 2, 46, 17, 21, 26, 7, 51, 63, 24, 16, 22, 31, SU
0, 0, 0, 0, 0, 0, 0, 0, 46, 40, 5, 4, 0, 0, 0, 0, 10, 25, 28, 45, 0, 2, 2, 0, 3, 1, 0, 18, 20, 36, 12, 5, 0, 0, 2, 0, 1, 15, 49, 42, 45, 53, 53, 10, 38, 30, 30, 33, 55, 40, 45, 38, 50, 1, 44, 36, 37, 41, 63, 10, 2, 0, 11, 12, 18, 16, 4, 43, 39, 12, 6, 2, 39, 8, 41, 0, 7, 14, 21, 28, 0, 22, 21, 9, 21, 8, 3, 49, 1, 38, 0, 38, 22, 31, 25, 19, 29, 17, 2, 22, 16, 8, 30, 38, 1, 0, 40, 4, NE
0, 0, 0, 0, 0, 0, 0, 0, 15, 30, 49, 33, 25, 11, 34, 16, 19, 39, 43, 36, 13, 32, 17, 21, 19, 5, 36, 1, 49, 39, 17, 47, 31, 25, 23, 41, 5, 17, 50, 44, 44, 46, 32, 7, 35, 43, 25, 33, 43, 50, 46, 47, 43, 25, 24, 31, 7, 79, 38, 35, 0, 4, 12, 17, 27, 7, 5, 78, 45, 18, 7, 0, 36, 24, 21, 2, 3, 58, 13, 25, 0, 1, 15, 0, 10, 0, 18, 46, 5, 32, 3, 22, 14, 31, 11, 2, 38, 4, 4, 12, 28, 23, 34, 32, 18, 3, 38, 5, SU
0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 49, 14, 4, 12, 8, 6, 3, 0, 0, 13, 12, 0, 0, 0, 5, 18, 4, 0, 2, 14, 0, 0, 0, 0, 0, 24, 0, 4, 4, 32, 63, 59, 54, 5, 61, 44, 10, 14, 31, 32, 35, 65, 68, 9, 52, 62, 29, 21, 44, 23, 5, 22, 17, 11, 14, 16, 2, 28, 19, 32, 1, 41, 38, 2, 51, 36, 0, 27, 5, 31, 37, 10, 52, 43, 48, 19, 20, 33, 0, 29, 12, 44, 49, 39, 51, 26, 5, 37, 0, 8, 42, 12, 22, 45, 25, 7, 20, 31, HA
0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 49, 23, 12, 13, 9, 10, 3, 0, 0, 22, 16, 0, 0, 0, 12, 11, 7, 0, 0, 18, 1, 0, 0, 0, 0, 22, 3, 5, 1, 28, 65, 65, 55, 14, 60, 35, 4, 16, 22, 28, 39, 63, 64, 30, 40, 61, 13, 29, 51, 24, 7, 20, 20, 21, 14, 19, 0, 43, 28, 39, 0, 0, 48, 4, 43, 0, 0, 38, 8, 30, 5, 8, 43, 43, 28, 0, 1, 48, 3, 31, 0, 45, 51, 41, 41, 14, 11, 29, 0, 16, 43, 8, 25, 60, 3, 7, 37, 9, NE
0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 29, 54, 29, 10, 20, 13, 10, 52, 31, 18, 48, 1, 1, 1, 13, 2, 1, 9, 37, 25, 11, 39, 8, 0, 47, 29, 6, 5, 26, 29, 47, 59, 31, 14, 27, 31, 15, 16, 48, 40, 34, 52, 54, 28, 51, 65, 2, 39, 50, 45, 5, 34, 20, 18, 10, 17, 0, 56, 14, 49, 0, 0, 39, 31, 37, 0, 1, 43, 13, 31, 0, 0, 30, 36, 14, 0, 0, 46, 4, 30, 14, 17, 20, 36, 14, 0, 20, 30, 0, 5, 38, 3, 48, 46, 25, 1, 39, 5, SU
0, 0, 0, 0, 0, 0, 0, 0, 43, 4, 7, 0, 0, 24, 15, 0, 5, 0, 21, 0, 6, 4, 9, 10, 2, 2, 9, 0, 1, 15, 14, 19, 4, 2, 0, 12, 4, 0, 30, 11, 46, 59, 39, 18, 60, 60, 4, 24, 58, 17, 66, 70, 9, 16, 32, 88, 25, 51, 45, 4, 0, 0, 6, 3, 18, 1, 4, 46, 16, 21, 3, 42, 34, 21, 43, 3, 9, 32, 25, 16, 29, 14, 50, 54, 40, 23, 5, 36, 3, 33, 9, 47, 49, 49, 49, 14, 31, 14, 20, 46, 1, 8, 66, 71, 10, 2, 43, 20, HA
