@RELATION	'emotions'

@ATTRIBUTE	eyes	NUMERIC
@ATTRIBUTE	eyes2	NUMERIC
@ATTRIBUTE	mouth	NUMERIC
@ATTRIBUTE	s_0	NUMERIC
@ATTRIBUTE	s_1	NUMERIC
@ATTRIBUTE	s_2	NUMERIC
@ATTRIBUTE	s_3	NUMERIC
@ATTRIBUTE	s_4	NUMERIC
@ATTRIBUTE	cpt_0	NUMERIC
@ATTRIBUTE	cpt_1	NUMERIC
@ATTRIBUTE	cpt_2	NUMERIC
@ATTRIBUTE	cpt_3	NUMERIC
@ATTRIBUTE	cpt_4	NUMERIC
@ATTRIBUTE	cpt_5	NUMERIC
@ATTRIBUTE	cpt_6	NUMERIC
@ATTRIBUTE	cpt_7	NUMERIC
@ATTRIBUTE	cpt_8	NUMERIC
@ATTRIBUTE	cpt_9	NUMERIC
@ATTRIBUTE	cpt_10	NUMERIC
@ATTRIBUTE	cpt_11	NUMERIC
@ATTRIBUTE	cpt_12	NUMERIC
@ATTRIBUTE	cpt_13	NUMERIC
@ATTRIBUTE	cpt_14	NUMERIC
@ATTRIBUTE	cpt_15	NUMERIC
@ATTRIBUTE	cpt_16	NUMERIC
@ATTRIBUTE	cpt_17	NUMERIC
@ATTRIBUTE	cpt_18	NUMERIC
@ATTRIBUTE	cpt_19	NUMERIC
@ATTRIBUTE	cpt_20	NUMERIC
@ATTRIBUTE	cpt_21	NUMERIC
@ATTRIBUTE	cpt_22	NUMERIC
@ATTRIBUTE	cpt_23	NUMERIC
@ATTRIBUTE	cpt_24	NUMERIC
@ATTRIBUTE	cpt_25	NUMERIC
@ATTRIBUTE	cpt_26	NUMERIC
@ATTRIBUTE	cpt_27	NUMERIC
@ATTRIBUTE	cpt_28	NUMERIC
@ATTRIBUTE	cpt_29	NUMERIC
@ATTRIBUTE	cpt_30	NUMERIC
@ATTRIBUTE	cpt_31	NUMERIC
@ATTRIBUTE	cpt_32	NUMERIC
@ATTRIBUTE	cpt_33	NUMERIC
@ATTRIBUTE	cpt_34	NUMERIC
@ATTRIBUTE	cpt_35	NUMERIC
@ATTRIBUTE	cpt_36	NUMERIC
@ATTRIBUTE	cpt_37	NUMERIC
@ATTRIBUTE	cpt_38	NUMERIC
@ATTRIBUTE	cpt_39	NUMERIC
@ATTRIBUTE	cpt_40	NUMERIC
@ATTRIBUTE	cpt_41	NUMERIC
@ATTRIBUTE	cpt_42	NUMERIC
@ATTRIBUTE	cpt_43	NUMERIC
@ATTRIBUTE	cpt_44	NUMERIC
@ATTRIBUTE	cpt_45	NUMERIC
@ATTRIBUTE	cpt_46	NUMERIC
@ATTRIBUTE	cpt_47	NUMERIC
@ATTRIBUTE	cpt_48	NUMERIC
@ATTRIBUTE	cpt_49	NUMERIC
@ATTRIBUTE	cpt_50	NUMERIC
@ATTRIBUTE	cpt_51	NUMERIC
@ATTRIBUTE	cpt_52	NUMERIC
@ATTRIBUTE	cpt_53	NUMERIC
@ATTRIBUTE	cpt_54	NUMERIC
@ATTRIBUTE	cpt_55	NUMERIC
@ATTRIBUTE	cpt_56	NUMERIC
@ATTRIBUTE	cpt_57	NUMERIC
@ATTRIBUTE	cpt_58	NUMERIC
@ATTRIBUTE	cpt_59	NUMERIC
@ATTRIBUTE	cpt_60	NUMERIC
@ATTRIBUTE	cpt_61	NUMERIC
@ATTRIBUTE	cpt_62	NUMERIC
@ATTRIBUTE	cpt_63	NUMERIC
@ATTRIBUTE	cpt_64	NUMERIC
@ATTRIBUTE	cpt_65	NUMERIC
@ATTRIBUTE	cpt_66	NUMERIC
@ATTRIBUTE	cpt_67	NUMERIC
@ATTRIBUTE	cpt_68	NUMERIC
@ATTRIBUTE	cpt_69	NUMERIC
@ATTRIBUTE	cpt_70	NUMERIC
@ATTRIBUTE	cpt_71	NUMERIC
@ATTRIBUTE	cpt_72	NUMERIC
@ATTRIBUTE	cpt_73	NUMERIC
@ATTRIBUTE	cpt_74	NUMERIC
@ATTRIBUTE	cpt_75	NUMERIC
@ATTRIBUTE	cpt_76	NUMERIC
@ATTRIBUTE	cpt_77	NUMERIC
@ATTRIBUTE	cpt_78	NUMERIC
@ATTRIBUTE	cpt_79	NUMERIC
@ATTRIBUTE	cpt_80	NUMERIC
@ATTRIBUTE	cpt_81	NUMERIC
@ATTRIBUTE	cpt_82	NUMERIC
@ATTRIBUTE	cpt_83	NUMERIC
@ATTRIBUTE	cpt_84	NUMERIC
@ATTRIBUTE	cpt_85	NUMERIC
@ATTRIBUTE	cpt_86	NUMERIC
@ATTRIBUTE	cpt_87	NUMERIC
@ATTRIBUTE	cpt_88	NUMERIC
@ATTRIBUTE	cpt_89	NUMERIC
@ATTRIBUTE	cpt_90	NUMERIC
@ATTRIBUTE	cpt_91	NUMERIC
@ATTRIBUTE	cpt_92	NUMERIC
@ATTRIBUTE	cpt_93	NUMERIC
@ATTRIBUTE	cpt_94	NUMERIC
@ATTRIBUTE	cpt_95	NUMERIC
@ATTRIBUTE	cpt_96	NUMERIC
@ATTRIBUTE	cpt_97	NUMERIC
@ATTRIBUTE	cpt_98	NUMERIC
@ATTRIBUTE	cpt_99	NUMERIC
@ATTRIBUTE	cpt_100	NUMERIC
@ATTRIBUTE	cpt_101	NUMERIC
@ATTRIBUTE	cpt_102	NUMERIC
@ATTRIBUTE	cpt_103	NUMERIC
@ATTRIBUTE	cpt_104	NUMERIC
@ATTRIBUTE	cpt_105	NUMERIC
@ATTRIBUTE	cpt_106	NUMERIC
@ATTRIBUTE	cpt_107	NUMERIC
@ATTRIBUTE	cpt_108	NUMERIC
@ATTRIBUTE	cpt_109	NUMERIC
@ATTRIBUTE	cpt_110	NUMERIC
@ATTRIBUTE	cpt_111	NUMERIC
@ATTRIBUTE	cpt_112	NUMERIC
@ATTRIBUTE	cpt_113	NUMERIC
@ATTRIBUTE	cpt_114	NUMERIC
@ATTRIBUTE	cpt_115	NUMERIC
@ATTRIBUTE	cpt_116	NUMERIC
@ATTRIBUTE	cpt_117	NUMERIC
@ATTRIBUTE	cpt_118	NUMERIC
@ATTRIBUTE	cpt_119	NUMERIC
@ATTRIBUTE	cpt_120	NUMERIC
@ATTRIBUTE	emotion	{AN,DI,FE,HA,NE,SA,SU}

@DATA
0, 0, 1, 0, 0, 0, 0, 0, 13, 5, 33, 15, 20, 26, 13, 10, 18, 0, 0, 25, 5, 1, 0, 11, 32, 10, 17, 4, 8, 15, 14, 21, 16, 3, 11, 32, 26, 4, 5, 4, 2, 3, 45, 12, 31, 24, 35, 15, 31, 19, 28, 1, 28, 51, 34, 39, 37, 38, 56, 35, 43, 26, 32, 30, 38, 4, 27, 16, 23, 32, 30, 24, 3, 55, 33, 25, 0, 9, 43, 11, 26, 32, 0, 0, 66, 8, 12, 27, 45, 31, 76, 70, 22, 32, 0, 36, 3, 36, 19, 62, 57, 43, 41, 50, 26, 10, 30, 13, 35, 28, 17, 20, 64, 53, 9, 14, 39, 14, 9, 11, 38, 3, 19, 28, 26, 8, 20, 37, 22, HA
0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 33, 11, 20, 24, 2, 7, 12, 7, 0, 10, 4, 4, 3, 21, 31, 36, 15, 1, 4, 18, 3, 24, 6, 0, 3, 32, 15, 5, 7, 1, 6, 2, 41, 20, 40, 40, 36, 20, 38, 30, 16, 19, 7, 51, 45, 53, 43, 36, 54, 45, 37, 14, 31, 52, 29, 1, 8, 5, 26, 34, 4, 25, 12, 31, 45, 23, 1, 1, 28, 30, 33, 20, 1, 3, 29, 38, 14, 6, 0, 31, 65, 61, 18, 1, 4, 28, 7, 33, 11, 6, 42, 53, 50, 16, 1, 4, 28, 15, 44, 4, 16, 30, 41, 37, 40, 11, 0, 31, 13, 37, 8, 9, 47, 39, 43, 34, 3, 24, 23, NE
0, 0, 0, 0, 0, 0, 0, 0, 8, 27, 27, 22, 22, 16, 9, 9, 7, 6, 0, 12, 5, 17, 8, 14, 22, 29, 6, 0, 5, 6, 0, 12, 14, 12, 53, 22, 2, 7, 7, 13, 8, 0, 37, 21, 39, 12, 31, 17, 33, 24, 34, 2, 12, 28, 50, 36, 44, 25, 66, 36, 34, 19, 37, 63, 5, 11, 8, 16, 20, 40, 25, 21, 3, 45, 63, 11, 0, 8, 36, 8, 44, 3, 0, 3, 57, 37, 13, 6, 0, 52, 63, 70, 17, 0, 0, 42, 15, 23, 6, 2, 42, 32, 34, 36, 2, 6, 33, 20, 35, 2, 28, 19, 66, 52, 21, 14, 24, 27, 11, 32, 14, 3, 38, 22, 40, 32, 14, 40, 12, SA
0, 0, 0, 0, 0, 0, 0, 0, 36, 13, 37, 18, 19, 27, 14, 18, 22, 0, 3, 51, 14, 28, 6, 20, 33, 12, 19, 20, 10, 10, 42, 2, 24, 5, 4, 38, 30, 6, 6, 0, 4, 44, 24, 31, 62, 35, 18, 22, 33, 40, 21, 3, 50, 51, 28, 54, 58, 40, 49, 59, 64, 8, 24, 31, 52, 1, 20, 10, 21, 34, 24, 25, 11, 31, 11, 49, 0, 2, 26, 15, 42, 8, 1, 0, 38, 16, 32, 11, 23, 37, 65, 65, 25, 2, 0, 57, 12, 24, 19, 11, 20, 42, 27, 17, 3, 0, 34, 2, 31, 18, 21, 57, 18, 37, 46, 0, 4, 45, 18, 10, 29, 5, 7, 54, 26, 10, 6, 33, 15, SU
0, 0, 0, 0, 0, 0, 0, 0, 41, 28, 13, 4, 0, 0, 0, 0, 0, 18, 14, 31, 41, 0, 2, 2, 0, 3, 1, 0, 0, 19, 11, 35, 6, 0, 0, 0, 1, 1, 0, 0, 11, 46, 35, 34, 37, 45, 11, 7, 28, 26, 17, 27, 41, 48, 35, 29, 20, 32, 32, 21, 31, 18, 36, 35, 33, 1, 23, 22, 15, 30, 19, 28, 14, 34, 59, 5, 2, 0, 18, 8, 13, 10, 0, 3, 34, 33, 19, 9, 2, 23, 21, 29, 19, 2, 2, 13, 2, 27, 0, 20, 15, 8, 6, 6, 4, 29, 38, 0, 35, 2, 22, 16, 24, 26, 19, 11, 35, 4, 2, 5, 29, 3, 16, 43, 16, 2, 0, 38, 1, NE
0, 0, 0, 0, 0, 0, 0, 0, 5, 35, 33, 38, 25, 17, 15, 27, 20, 6, 43, 34, 19, 27, 27, 21, 16, 21, 10, 2, 32, 4, 45, 36, 0, 12, 14, 25, 20, 13, 23, 20, 2, 43, 41, 32, 54, 48, 5, 5, 50, 47, 29, 8, 40, 46, 22, 59, 33, 34, 24, 24, 21, 26, 55, 38, 39, 12, 15, 8, 6, 30, 25, 14, 15, 54, 34, 29, 0, 0, 10, 3, 31, 0, 5, 14, 57, 23, 18, 5, 2, 18, 25, 28, 0, 0, 9, 38, 9, 30, 1, 2, 12, 5, 6, 0, 0, 35, 19, 6, 17, 16, 25, 10, 26, 19, 15, 1, 33, 4, 3, 3, 35, 12, 20, 29, 24, 0, 30, 9, 4, SU
0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 35, 25, 1, 10, 11, 3, 6, 3, 0, 0, 10, 15, 0, 0, 0, 0, 18, 0, 4, 0, 2, 17, 0, 0, 0, 0, 0, 4, 25, 0, 3, 4, 21, 29, 58, 53, 9, 19, 51, 24, 3, 10, 11, 30, 38, 48, 30, 42, 42, 21, 49, 21, 22, 31, 36, 4, 33, 22, 19, 25, 22, 28, 2, 28, 25, 31, 0, 0, 19, 18, 20, 25, 0, 0, 32, 10, 32, 13, 23, 42, 6, 18, 34, 27, 6, 35, 0, 27, 19, 22, 17, 44, 48, 17, 12, 17, 27, 0, 13, 25, 21, 46, 59, 54, 39, 5, 8, 30, 0, 4, 44, 9, 7, 27, 21, 8, 7, 34, 13, HA
0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 34, 34, 11, 12, 10, 6, 10, 2, 0, 0, 19, 20, 0, 0, 0, 0, 18, 2, 3, 0, 0, 18, 2, 0, 0, 0, 0, 10, 17, 6, 3, 1, 19, 34, 63, 54, 10, 32, 50, 17, 0, 8, 6, 32, 41, 52, 29, 35, 41, 29, 39, 4, 27, 37, 32, 3, 31, 14, 23, 33, 24, 23, 4, 28, 26, 33, 0, 0, 18, 21, 35, 6, 0, 0, 41, 14, 37, 0, 0, 34, 26, 39, 19, 0, 0, 51, 5, 31, 5, 5, 16, 28, 6, 7, 1, 6, 34, 0, 17, 15, 26, 43, 37, 35, 33, 6, 32, 3, 0, 11, 46, 8, 10, 60, 20, 0, 3, 35, 12, NE
0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 12, 42, 35, 17, 10, 23, 7, 11, 51, 27, 4, 53, 14, 0, 0, 0, 1, 4, 1, 6, 35, 11, 22, 3, 4, 2, 7, 44, 1, 6, 8, 20, 24, 23, 63, 47, 1, 20, 27, 24, 14, 3, 42, 32, 18, 58, 41, 30, 55, 54, 44, 3, 27, 41, 37, 6, 51, 22, 17, 24, 33, 19, 0, 42, 26, 57, 0, 0, 9, 10, 22, 2, 0, 0, 61, 10, 37, 0, 0, 27, 37, 47, 7, 1, 0, 35, 4, 37, 0, 0, 0, 29, 15, 0, 0, 2, 44, 1, 13, 31, 2, 30, 36, 35, 12, 0, 31, 13, 0, 5, 35, 0, 19, 34, 37, 1, 0, 36, 5, SU
0, 0, 0, 0, 0, 0, 0, 0, 40, 4, 6, 0, 0, 8, 22, 9, 0, 5, 0, 24, 0, 7, 0, 2, 6, 5, 2, 1, 9, 0, 0, 7, 3, 10, 8, 6, 2, 0, 1, 4, 0, 14, 18, 36, 66, 50, 3, 26, 66, 49, 0, 10, 48, 9, 40, 51, 29, 4, 26, 35, 41, 14, 58, 57, 0, 15, 27, 0, 1, 7, 23, 30, 2, 59, 20, 13, 0, 1, 26, 0, 34, 11, 2, 5, 35, 9, 21, 18, 36, 52, 34, 40, 24, 17, 13, 21, 11, 27, 7, 10, 7, 43, 27, 6, 12, 23, 11, 6, 32, 6, 23, 52, 58, 51, 38, 2, 36, 10, 17, 42, 9, 2, 39, 63, 35, 0, 22, 24, 16, HA
