@RELATION	'emotions'

@ATTRIBUTE	eyes	NUMERIC
@ATTRIBUTE	eyes2	NUMERIC
@ATTRIBUTE	mouth	NUMERIC
@ATTRIBUTE	s_0	NUMERIC
@ATTRIBUTE	s_1	NUMERIC
@ATTRIBUTE	s_2	NUMERIC
@ATTRIBUTE	s_3	NUMERIC
@ATTRIBUTE	s_4	NUMERIC
@ATTRIBUTE	cpt_0	NUMERIC
@ATTRIBUTE	cpt_1	NUMERIC
@ATTRIBUTE	cpt_2	NUMERIC
@ATTRIBUTE	cpt_3	NUMERIC
@ATTRIBUTE	cpt_4	NUMERIC
@ATTRIBUTE	cpt_5	NUMERIC
@ATTRIBUTE	cpt_6	NUMERIC
@ATTRIBUTE	cpt_7	NUMERIC
@ATTRIBUTE	cpt_8	NUMERIC
@ATTRIBUTE	cpt_9	NUMERIC
@ATTRIBUTE	cpt_10	NUMERIC
@ATTRIBUTE	cpt_11	NUMERIC
@ATTRIBUTE	cpt_12	NUMERIC
@ATTRIBUTE	cpt_13	NUMERIC
@ATTRIBUTE	cpt_14	NUMERIC
@ATTRIBUTE	cpt_15	NUMERIC
@ATTRIBUTE	cpt_16	NUMERIC
@ATTRIBUTE	cpt_17	NUMERIC
@ATTRIBUTE	cpt_18	NUMERIC
@ATTRIBUTE	cpt_19	NUMERIC
@ATTRIBUTE	cpt_20	NUMERIC
@ATTRIBUTE	cpt_21	NUMERIC
@ATTRIBUTE	cpt_22	NUMERIC
@ATTRIBUTE	cpt_23	NUMERIC
@ATTRIBUTE	cpt_24	NUMERIC
@ATTRIBUTE	cpt_25	NUMERIC
@ATTRIBUTE	cpt_26	NUMERIC
@ATTRIBUTE	cpt_27	NUMERIC
@ATTRIBUTE	cpt_28	NUMERIC
@ATTRIBUTE	cpt_29	NUMERIC
@ATTRIBUTE	cpt_30	NUMERIC
@ATTRIBUTE	cpt_31	NUMERIC
@ATTRIBUTE	cpt_32	NUMERIC
@ATTRIBUTE	cpt_33	NUMERIC
@ATTRIBUTE	cpt_34	NUMERIC
@ATTRIBUTE	cpt_35	NUMERIC
@ATTRIBUTE	cpt_36	NUMERIC
@ATTRIBUTE	cpt_37	NUMERIC
@ATTRIBUTE	cpt_38	NUMERIC
@ATTRIBUTE	cpt_39	NUMERIC
@ATTRIBUTE	cpt_40	NUMERIC
@ATTRIBUTE	cpt_41	NUMERIC
@ATTRIBUTE	cpt_42	NUMERIC
@ATTRIBUTE	cpt_43	NUMERIC
@ATTRIBUTE	cpt_44	NUMERIC
@ATTRIBUTE	cpt_45	NUMERIC
@ATTRIBUTE	cpt_46	NUMERIC
@ATTRIBUTE	cpt_47	NUMERIC
@ATTRIBUTE	cpt_48	NUMERIC
@ATTRIBUTE	cpt_49	NUMERIC
@ATTRIBUTE	cpt_50	NUMERIC
@ATTRIBUTE	cpt_51	NUMERIC
@ATTRIBUTE	cpt_52	NUMERIC
@ATTRIBUTE	cpt_53	NUMERIC
@ATTRIBUTE	cpt_54	NUMERIC
@ATTRIBUTE	cpt_55	NUMERIC
@ATTRIBUTE	cpt_56	NUMERIC
@ATTRIBUTE	cpt_57	NUMERIC
@ATTRIBUTE	cpt_58	NUMERIC
@ATTRIBUTE	cpt_59	NUMERIC
@ATTRIBUTE	cpt_60	NUMERIC
@ATTRIBUTE	cpt_61	NUMERIC
@ATTRIBUTE	cpt_62	NUMERIC
@ATTRIBUTE	cpt_63	NUMERIC
@ATTRIBUTE	cpt_64	NUMERIC
@ATTRIBUTE	cpt_65	NUMERIC
@ATTRIBUTE	cpt_66	NUMERIC
@ATTRIBUTE	cpt_67	NUMERIC
@ATTRIBUTE	cpt_68	NUMERIC
@ATTRIBUTE	cpt_69	NUMERIC
@ATTRIBUTE	cpt_70	NUMERIC
@ATTRIBUTE	cpt_71	NUMERIC
@ATTRIBUTE	cpt_72	NUMERIC
@ATTRIBUTE	cpt_73	NUMERIC
@ATTRIBUTE	cpt_74	NUMERIC
@ATTRIBUTE	cpt_75	NUMERIC
@ATTRIBUTE	cpt_76	NUMERIC
@ATTRIBUTE	cpt_77	NUMERIC
@ATTRIBUTE	cpt_78	NUMERIC
@ATTRIBUTE	cpt_79	NUMERIC
@ATTRIBUTE	cpt_80	NUMERIC
@ATTRIBUTE	cpt_81	NUMERIC
@ATTRIBUTE	cpt_82	NUMERIC
@ATTRIBUTE	cpt_83	NUMERIC
@ATTRIBUTE	cpt_84	NUMERIC
@ATTRIBUTE	cpt_85	NUMERIC
@ATTRIBUTE	cpt_86	NUMERIC
@ATTRIBUTE	cpt_87	NUMERIC
@ATTRIBUTE	cpt_88	NUMERIC
@ATTRIBUTE	cpt_89	NUMERIC
@ATTRIBUTE	cpt_90	NUMERIC
@ATTRIBUTE	cpt_91	NUMERIC
@ATTRIBUTE	cpt_92	NUMERIC
@ATTRIBUTE	cpt_93	NUMERIC
@ATTRIBUTE	cpt_94	NUMERIC
@ATTRIBUTE	cpt_95	NUMERIC
@ATTRIBUTE	cpt_96	NUMERIC
@ATTRIBUTE	cpt_97	NUMERIC
@ATTRIBUTE	cpt_98	NUMERIC
@ATTRIBUTE	cpt_99	NUMERIC
@ATTRIBUTE	cpt_100	NUMERIC
@ATTRIBUTE	cpt_101	NUMERIC
@ATTRIBUTE	cpt_102	NUMERIC
@ATTRIBUTE	cpt_103	NUMERIC
@ATTRIBUTE	cpt_104	NUMERIC
@ATTRIBUTE	cpt_105	NUMERIC
@ATTRIBUTE	cpt_106	NUMERIC
@ATTRIBUTE	cpt_107	NUMERIC
@ATTRIBUTE	cpt_108	NUMERIC
@ATTRIBUTE	cpt_109	NUMERIC
@ATTRIBUTE	cpt_110	NUMERIC
@ATTRIBUTE	cpt_111	NUMERIC
@ATTRIBUTE	cpt_112	NUMERIC
@ATTRIBUTE	cpt_113	NUMERIC
@ATTRIBUTE	cpt_114	NUMERIC
@ATTRIBUTE	cpt_115	NUMERIC
@ATTRIBUTE	cpt_116	NUMERIC
@ATTRIBUTE	cpt_117	NUMERIC
@ATTRIBUTE	cpt_118	NUMERIC
@ATTRIBUTE	cpt_119	NUMERIC
@ATTRIBUTE	cpt_120	NUMERIC
@ATTRIBUTE	cpt_121	NUMERIC
@ATTRIBUTE	cpt_122	NUMERIC
@ATTRIBUTE	cpt_123	NUMERIC
@ATTRIBUTE	cpt_124	NUMERIC
@ATTRIBUTE	cpt_125	NUMERIC
@ATTRIBUTE	cpt_126	NUMERIC
@ATTRIBUTE	cpt_127	NUMERIC
@ATTRIBUTE	cpt_128	NUMERIC
@ATTRIBUTE	cpt_129	NUMERIC
@ATTRIBUTE	cpt_130	NUMERIC
@ATTRIBUTE	cpt_131	NUMERIC
@ATTRIBUTE	cpt_132	NUMERIC
@ATTRIBUTE	cpt_133	NUMERIC
@ATTRIBUTE	cpt_134	NUMERIC
@ATTRIBUTE	cpt_135	NUMERIC
@ATTRIBUTE	cpt_136	NUMERIC
@ATTRIBUTE	cpt_137	NUMERIC
@ATTRIBUTE	cpt_138	NUMERIC
@ATTRIBUTE	cpt_139	NUMERIC
@ATTRIBUTE	cpt_140	NUMERIC
@ATTRIBUTE	cpt_141	NUMERIC
@ATTRIBUTE	cpt_142	NUMERIC
@ATTRIBUTE	cpt_143	NUMERIC
@ATTRIBUTE	cpt_144	NUMERIC
@ATTRIBUTE	cpt_145	NUMERIC
@ATTRIBUTE	cpt_146	NUMERIC
@ATTRIBUTE	cpt_147	NUMERIC
@ATTRIBUTE	cpt_148	NUMERIC
@ATTRIBUTE	cpt_149	NUMERIC
@ATTRIBUTE	cpt_150	NUMERIC
@ATTRIBUTE	cpt_151	NUMERIC
@ATTRIBUTE	cpt_152	NUMERIC
@ATTRIBUTE	cpt_153	NUMERIC
@ATTRIBUTE	cpt_154	NUMERIC
@ATTRIBUTE	cpt_155	NUMERIC
@ATTRIBUTE	cpt_156	NUMERIC
@ATTRIBUTE	cpt_157	NUMERIC
@ATTRIBUTE	cpt_158	NUMERIC
@ATTRIBUTE	cpt_159	NUMERIC
@ATTRIBUTE	cpt_160	NUMERIC
@ATTRIBUTE	cpt_161	NUMERIC
@ATTRIBUTE	cpt_162	NUMERIC
@ATTRIBUTE	cpt_163	NUMERIC
@ATTRIBUTE	cpt_164	NUMERIC
@ATTRIBUTE	cpt_165	NUMERIC
@ATTRIBUTE	cpt_166	NUMERIC
@ATTRIBUTE	cpt_167	NUMERIC
@ATTRIBUTE	cpt_168	NUMERIC
@ATTRIBUTE	emotion	{AN,DI,FE,HA,NE,SA,SU}

@DATA
0, 0, 1, 0, 0, 0, 0, 0, 10, 5, 13, 16, 12, 17, 20, 14, 11, 4, 16, 0, 0, 12, 12, 11, 4, 1, 2, 7, 17, 11, 7, 9, 4, 6, 6, 1, 18, 6, 11, 0, 3, 12, 27, 18, 14, 0, 0, 1, 7, 5, 5, 5, 30, 0, 0, 1, 7, 18, 0, 4, 5, 10, 1, 11, 1, 22, 17, 20, 30, 23, 25, 27, 10, 29, 18, 11, 14, 8, 23, 41, 6, 42, 26, 21, 38, 25, 36, 25, 32, 13, 29, 6, 17, 44, 3, 6, 24, 18, 18, 24, 19, 26, 19, 5, 38, 21, 4, 45, 0, 1, 0, 22, 18, 18, 20, 0, 0, 0, 28, 31, 8, 23, 1, 1, 30, 31, 23, 28, 37, 23, 0, 0, 22, 27, 4, 16, 22, 35, 14, 10, 42, 42, 7, 11, 31, 0, 17, 13, 2, 28, 6, 9, 56, 46, 33, 35, 34, 39, 12, 5, 23, 10, 11, 8, 28, 12, 14, 15, 45, 46, 23, 5, 5, 19, 21, 13, 9, HA
0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 21, 15, 7, 17, 16, 3, 1, 3, 9, 5, 0, 0, 4, 6, 10, 1, 3, 15, 18, 18, 11, 4, 2, 2, 13, 5, 0, 4, 13, 2, 0, 8, 27, 19, 26, 3, 1, 0, 2, 4, 3, 5, 19, 0, 0, 0, 4, 17, 0, 3, 6, 2, 7, 6, 0, 32, 13, 27, 37, 37, 33, 22, 22, 39, 27, 7, 25, 0, 3, 44, 15, 32, 42, 33, 35, 17, 47, 27, 25, 12, 25, 0, 28, 39, 2, 1, 12, 3, 22, 28, 6, 7, 21, 12, 25, 4, 25, 29, 0, 1, 0, 13, 17, 11, 17, 0, 1, 1, 9, 26, 16, 26, 13, 0, 1, 26, 41, 40, 43, 0, 1, 2, 0, 53, 22, 19, 2, 6, 0, 18, 31, 44, 18, 5, 0, 4, 1, 45, 0, 25, 9, 5, 9, 27, 37, 38, 25, 6, 1, 4, 8, 19, 0, 43, 8, 0, 20, 25, 29, 36, 26, 32, 5, 0, 22, 13, 14, NE
0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 33, 9, 18, 14, 17, 8, 3, 13, 3, 4, 0, 25, 9, 6, 13, 12, 9, 5, 6, 0, 16, 0, 0, 3, 9, 15, 0, 4, 11, 6, 9, 28, 29, 22, 12, 4, 0, 0, 3, 0, 0, 17, 0, 5, 7, 32, 9, 0, 1, 2, 5, 21, 3, 17, 0, 33, 10, 27, 31, 5, 26, 19, 24, 33, 17, 21, 8, 19, 1, 29, 17, 26, 35, 30, 29, 34, 30, 27, 27, 3, 26, 21, 28, 24, 7, 10, 7, 9, 21, 26, 16, 23, 16, 4, 28, 35, 46, 18, 0, 3, 5, 19, 18, 30, 11, 0, 0, 0, 25, 35, 31, 13, 5, 1, 0, 30, 15, 22, 30, 0, 0, 3, 19, 28, 23, 13, 1, 5, 0, 27, 38, 36, 29, 7, 0, 3, 11, 16, 2, 27, 10, 0, 4, 37, 26, 27, 33, 19, 2, 1, 29, 20, 8, 39, 2, 0, 24, 9, 38, 45, 13, 21, 7, 1, 31, 11, 6, SA
0, 0, 0, 0, 0, 0, 0, 0, 25, 15, 2, 27, 15, 17, 16, 15, 17, 3, 18, 0, 0, 24, 33, 18, 21, 16, 1, 8, 21, 7, 7, 12, 11, 8, 3, 3, 36, 3, 13, 0, 6, 8, 31, 22, 11, 14, 9, 0, 11, 2, 34, 2, 27, 7, 33, 14, 11, 28, 4, 6, 3, 2, 0, 5, 37, 0, 35, 25, 30, 18, 19, 14, 10, 42, 32, 8, 16, 3, 37, 17, 28, 44, 40, 42, 36, 17, 49, 40, 41, 2, 24, 0, 23, 46, 7, 4, 14, 6, 19, 25, 9, 30, 24, 11, 26, 0, 11, 45, 0, 1, 3, 13, 15, 19, 17, 1, 1, 0, 25, 14, 5, 30, 1, 0, 7, 28, 30, 39, 34, 1, 0, 0, 23, 37, 16, 16, 9, 12, 28, 14, 27, 36, 25, 17, 3, 0, 10, 42, 6, 14, 11, 15, 7, 11, 30, 26, 5, 11, 2, 0, 20, 18, 0, 16, 24, 1, 24, 41, 2, 5, 29, 15, 0, 2, 28, 15, 13, SU
0, 0, 0, 0, 0, 0, 0, 0, 31, 1, 32, 1, 4, 0, 0, 0, 0, 0, 0, 10, 18, 0, 35, 19, 14, 0, 2, 0, 0, 0, 3, 1, 0, 0, 17, 0, 7, 32, 6, 3, 0, 2, 0, 0, 0, 0, 0, 0, 13, 0, 16, 25, 3, 7, 5, 0, 0, 0, 1, 1, 0, 1, 10, 0, 40, 30, 13, 30, 25, 38, 19, 5, 18, 27, 21, 18, 24, 16, 24, 48, 8, 32, 21, 16, 24, 4, 30, 10, 25, 8, 22, 38, 23, 34, 1, 9, 18, 20, 17, 4, 29, 19, 25, 18, 21, 35, 36, 21, 0, 2, 0, 4, 5, 8, 5, 0, 0, 0, 19, 28, 34, 9, 5, 4, 0, 13, 6, 0, 25, 0, 2, 5, 3, 27, 14, 25, 1, 0, 3, 15, 25, 9, 33, 2, 0, 0, 20, 29, 1, 14, 8, 0, 22, 10, 5, 8, 5, 7, 0, 8, 32, 17, 0, 5, 25, 0, 24, 12, 18, 22, 18, 21, 3, 24, 5, 8, 2, NE
0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 6, 29, 27, 21, 14, 7, 25, 16, 17, 0, 20, 19, 4, 30, 28, 7, 15, 8, 0, 0, 0, 0, 2, 28, 0, 38, 28, 6, 30, 6, 13, 20, 31, 33, 31, 13, 8, 16, 2, 29, 38, 5, 25, 17, 33, 17, 3, 0, 0, 15, 27, 0, 16, 32, 36, 7, 33, 28, 28, 25, 9, 5, 20, 28, 24, 11, 18, 34, 30, 36, 8, 35, 27, 15, 28, 15, 10, 21, 13, 4, 35, 32, 24, 39, 0, 21, 18, 12, 7, 18, 14, 22, 14, 4, 47, 10, 25, 28, 0, 0, 3, 4, 8, 11, 15, 4, 0, 0, 38, 24, 22, 24, 0, 0, 0, 5, 7, 9, 14, 0, 5, 0, 22, 26, 12, 26, 2, 5, 0, 12, 20, 14, 11, 0, 0, 0, 25, 12, 2, 5, 18, 1, 3, 8, 1, 4, 6, 0, 0, 28, 25, 0, 4, 3, 22, 2, 19, 2, 18, 21, 1, 12, 0, 28, 3, 1, 4, SU
0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6, 38, 14, 0, 7, 9, 5, 4, 5, 3, 0, 0, 0, 1, 18, 11, 0, 0, 0, 0, 0, 9, 0, 4, 0, 1, 0, 1, 11, 0, 0, 0, 0, 0, 0, 21, 2, 0, 0, 0, 2, 10, 1, 0, 0, 0, 0, 0, 0, 2, 13, 0, 3, 1, 4, 23, 4, 49, 45, 44, 18, 1, 38, 45, 14, 3, 0, 10, 2, 28, 8, 28, 41, 15, 35, 6, 32, 18, 33, 18, 1, 20, 24, 36, 0, 14, 35, 24, 19, 9, 20, 29, 27, 4, 0, 22, 15, 34, 0, 0, 0, 0, 10, 8, 9, 0, 0, 0, 0, 37, 8, 34, 0, 0, 9, 37, 16, 1, 33, 32, 0, 0, 4, 44, 5, 19, 15, 3, 23, 16, 19, 6, 31, 16, 15, 10, 14, 23, 0, 6, 25, 20, 8, 11, 28, 26, 20, 10, 11, 13, 23, 1, 0, 0, 25, 6, 21, 36, 28, 33, 29, 33, 1, 2, 26, 3, 0, HA
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 8, 37, 20, 9, 9, 10, 7, 9, 4, 2, 0, 2, 1, 2, 21, 15, 0, 0, 0, 0, 0, 8, 2, 3, 0, 2, 0, 0, 23, 0, 0, 0, 0, 0, 0, 23, 0, 2, 0, 1, 0, 9, 4, 0, 0, 0, 0, 0, 0, 7, 7, 3, 5, 0, 1, 19, 6, 52, 50, 44, 18, 8, 42, 45, 7, 0, 9, 2, 0, 32, 7, 32, 45, 19, 32, 18, 26, 24, 26, 2, 13, 17, 17, 32, 1, 13, 28, 17, 19, 26, 11, 28, 18, 6, 15, 10, 20, 33, 0, 0, 0, 0, 16, 12, 11, 0, 0, 0, 23, 19, 9, 33, 0, 0, 0, 24, 14, 4, 33, 0, 0, 0, 21, 19, 4, 41, 0, 5, 0, 20, 29, 19, 36, 0, 1, 0, 28, 27, 2, 12, 15, 0, 7, 13, 21, 9, 5, 2, 0, 0, 24, 11, 0, 0, 23, 0, 29, 34, 30, 30, 31, 19, 0, 11, 17, 0, 0, NE
0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 3, 6, 29, 26, 20, 5, 13, 13, 5, 5, 34, 29, 21, 0, 10, 47, 14, 0, 0, 0, 0, 4, 3, 1, 3, 27, 29, 0, 26, 15, 4, 3, 2, 0, 10, 10, 2, 0, 5, 6, 26, 0, 20, 4, 25, 15, 0, 0, 31, 29, 9, 6, 2, 9, 14, 3, 20, 38, 33, 29, 3, 3, 11, 20, 13, 8, 11, 0, 34, 19, 6, 31, 28, 24, 33, 31, 35, 32, 27, 1, 24, 0, 37, 31, 0, 17, 47, 22, 11, 17, 10, 44, 13, 0, 24, 18, 31, 43, 0, 0, 8, 0, 12, 9, 4, 0, 0, 0, 39, 19, 4, 45, 0, 0, 0, 9, 6, 7, 18, 0, 0, 0, 25, 26, 3, 31, 0, 0, 0, 20, 34, 28, 28, 0, 1, 0, 26, 15, 4, 18, 12, 0, 0, 0, 21, 18, 5, 0, 0, 0, 32, 4, 0, 5, 31, 2, 7, 16, 22, 21, 2, 12, 0, 20, 12, 6, 0, SU
0, 0, 0, 0, 0, 0, 0, 0, 28, 5, 1, 2, 0, 0, 0, 24, 10, 4, 0, 3, 0, 32, 33, 0, 4, 7, 0, 0, 0, 0, 2, 2, 0, 10, 0, 34, 0, 0, 0, 1, 7, 6, 6, 10, 1, 0, 0, 2, 0, 23, 1, 11, 12, 6, 15, 0, 4, 0, 0, 5, 7, 3, 0, 30, 4, 22, 20, 26, 43, 41, 10, 11, 39, 53, 31, 0, 5, 34, 26, 13, 25, 38, 41, 18, 4, 19, 10, 35, 31, 14, 28, 29, 48, 0, 4, 20, 18, 1, 1, 7, 7, 25, 24, 2, 32, 26, 27, 4, 0, 0, 0, 6, 0, 0, 18, 1, 1, 1, 23, 14, 8, 20, 0, 0, 14, 26, 0, 0, 37, 0, 0, 6, 18, 12, 7, 17, 4, 32, 13, 43, 42, 37, 38, 11, 13, 2, 24, 1, 6, 25, 2, 3, 8, 1, 20, 19, 6, 6, 8, 6, 22, 3, 0, 25, 4, 2, 28, 37, 40, 32, 37, 18, 2, 27, 8, 8, 8, HA
