@RELATION	'emotions'

@ATTRIBUTE	eyes	NUMERIC
@ATTRIBUTE	eyes2	NUMERIC
@ATTRIBUTE	mouth	NUMERIC
@ATTRIBUTE	s_0	NUMERIC
@ATTRIBUTE	s_1	NUMERIC
@ATTRIBUTE	s_2	NUMERIC
@ATTRIBUTE	s_3	NUMERIC
@ATTRIBUTE	s_4	NUMERIC
@ATTRIBUTE	cpt_0	NUMERIC
@ATTRIBUTE	cpt_1	NUMERIC
@ATTRIBUTE	cpt_2	NUMERIC
@ATTRIBUTE	cpt_3	NUMERIC
@ATTRIBUTE	cpt_4	NUMERIC
@ATTRIBUTE	cpt_5	NUMERIC
@ATTRIBUTE	cpt_6	NUMERIC
@ATTRIBUTE	cpt_7	NUMERIC
@ATTRIBUTE	cpt_8	NUMERIC
@ATTRIBUTE	cpt_9	NUMERIC
@ATTRIBUTE	cpt_10	NUMERIC
@ATTRIBUTE	cpt_11	NUMERIC
@ATTRIBUTE	cpt_12	NUMERIC
@ATTRIBUTE	cpt_13	NUMERIC
@ATTRIBUTE	cpt_14	NUMERIC
@ATTRIBUTE	cpt_15	NUMERIC
@ATTRIBUTE	cpt_16	NUMERIC
@ATTRIBUTE	cpt_17	NUMERIC
@ATTRIBUTE	cpt_18	NUMERIC
@ATTRIBUTE	cpt_19	NUMERIC
@ATTRIBUTE	cpt_20	NUMERIC
@ATTRIBUTE	cpt_21	NUMERIC
@ATTRIBUTE	cpt_22	NUMERIC
@ATTRIBUTE	cpt_23	NUMERIC
@ATTRIBUTE	cpt_24	NUMERIC
@ATTRIBUTE	cpt_25	NUMERIC
@ATTRIBUTE	cpt_26	NUMERIC
@ATTRIBUTE	cpt_27	NUMERIC
@ATTRIBUTE	cpt_28	NUMERIC
@ATTRIBUTE	cpt_29	NUMERIC
@ATTRIBUTE	cpt_30	NUMERIC
@ATTRIBUTE	cpt_31	NUMERIC
@ATTRIBUTE	cpt_32	NUMERIC
@ATTRIBUTE	cpt_33	NUMERIC
@ATTRIBUTE	cpt_34	NUMERIC
@ATTRIBUTE	cpt_35	NUMERIC
@ATTRIBUTE	cpt_36	NUMERIC
@ATTRIBUTE	cpt_37	NUMERIC
@ATTRIBUTE	cpt_38	NUMERIC
@ATTRIBUTE	cpt_39	NUMERIC
@ATTRIBUTE	cpt_40	NUMERIC
@ATTRIBUTE	cpt_41	NUMERIC
@ATTRIBUTE	cpt_42	NUMERIC
@ATTRIBUTE	cpt_43	NUMERIC
@ATTRIBUTE	cpt_44	NUMERIC
@ATTRIBUTE	cpt_45	NUMERIC
@ATTRIBUTE	cpt_46	NUMERIC
@ATTRIBUTE	cpt_47	NUMERIC
@ATTRIBUTE	cpt_48	NUMERIC
@ATTRIBUTE	cpt_49	NUMERIC
@ATTRIBUTE	cpt_50	NUMERIC
@ATTRIBUTE	cpt_51	NUMERIC
@ATTRIBUTE	cpt_52	NUMERIC
@ATTRIBUTE	cpt_53	NUMERIC
@ATTRIBUTE	cpt_54	NUMERIC
@ATTRIBUTE	cpt_55	NUMERIC
@ATTRIBUTE	cpt_56	NUMERIC
@ATTRIBUTE	cpt_57	NUMERIC
@ATTRIBUTE	cpt_58	NUMERIC
@ATTRIBUTE	cpt_59	NUMERIC
@ATTRIBUTE	cpt_60	NUMERIC
@ATTRIBUTE	cpt_61	NUMERIC
@ATTRIBUTE	cpt_62	NUMERIC
@ATTRIBUTE	cpt_63	NUMERIC
@ATTRIBUTE	cpt_64	NUMERIC
@ATTRIBUTE	cpt_65	NUMERIC
@ATTRIBUTE	cpt_66	NUMERIC
@ATTRIBUTE	cpt_67	NUMERIC
@ATTRIBUTE	cpt_68	NUMERIC
@ATTRIBUTE	cpt_69	NUMERIC
@ATTRIBUTE	cpt_70	NUMERIC
@ATTRIBUTE	cpt_71	NUMERIC
@ATTRIBUTE	cpt_72	NUMERIC
@ATTRIBUTE	cpt_73	NUMERIC
@ATTRIBUTE	cpt_74	NUMERIC
@ATTRIBUTE	cpt_75	NUMERIC
@ATTRIBUTE	cpt_76	NUMERIC
@ATTRIBUTE	cpt_77	NUMERIC
@ATTRIBUTE	cpt_78	NUMERIC
@ATTRIBUTE	cpt_79	NUMERIC
@ATTRIBUTE	cpt_80	NUMERIC
@ATTRIBUTE	emotion	{AN,DI,FE,HA,NE,SA,SU}

@DATA
0, 0, 1, 0, 0, 0, 0, 0, 24, 30, 19, 33, 38, 16, 20, 7, 12, 31, 20, 3, 20, 51, 31, 7, 6, 13, 7, 51, 21, 33, 37, 17, 17, 26, 20, 50, 61, 71, 57, 75, 77, 72, 61, 16, 73, 5, 21, 40, 43, 47, 35, 14, 83, 46, 6, 38, 70, 61, 78, 28, 0, 71, 20, 46, 75, 64, 96, 47, 58, 13, 39, 19, 56, 35, 42, 84, 47, 22, 57, 29, 12, 20, 33, 19, 36, 24, 32, 50, 31, HA
0, 0, 0, 0, 0, 0, 0, 0, 15, 34, 15, 37, 27, 10, 13, 9, 2, 6, 17, 5, 18, 63, 34, 6, 3, 18, 5, 45, 39, 46, 44, 33, 48, 26, 8, 44, 62, 71, 71, 55, 85, 53, 34, 36, 94, 3, 1, 17, 36, 36, 26, 7, 43, 62, 15, 1, 47, 81, 84, 2, 4, 83, 38, 24, 8, 45, 84, 32, 3, 5, 53, 40, 36, 10, 68, 70, 58, 30, 7, 51, 25, 48, 4, 46, 53, 53, 13, 47, 28, NE
0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 30, 31, 17, 17, 16, 6, 33, 10, 18, 23, 43, 40, 25, 6, 9, 13, 7, 30, 40, 49, 15, 31, 33, 40, 33, 50, 44, 61, 64, 68, 65, 52, 50, 36, 89, 4, 22, 41, 46, 26, 31, 15, 84, 60, 14, 0, 68, 57, 71, 1, 3, 71, 45, 17, 2, 59, 65, 64, 9, 12, 50, 42, 34, 23, 53, 87, 46, 38, 52, 16, 11, 59, 3, 38, 47, 57, 19, 58, 27, SA
0, 0, 0, 0, 0, 0, 0, 0, 62, 27, 46, 27, 37, 29, 26, 6, 27, 60, 32, 3, 22, 63, 29, 29, 10, 11, 57, 46, 52, 42, 36, 13, 56, 17, 8, 63, 64, 84, 90, 64, 81, 98, 44, 6, 53, 49, 17, 28, 39, 50, 29, 14, 39, 34, 27, 7, 62, 73, 72, 4, 0, 99, 24, 30, 42, 28, 66, 28, 18, 0, 60, 7, 54, 9, 85, 44, 76, 12, 22, 50, 31, 36, 18, 32, 79, 23, 10, 45, 37, SU
0, 0, 0, 0, 0, 0, 0, 0, 51, 53, 4, 0, 0, 0, 0, 25, 14, 27, 53, 3, 2, 0, 4, 1, 0, 19, 42, 51, 53, 41, 1, 9, 28, 13, 30, 83, 52, 40, 47, 38, 67, 40, 31, 91, 81, 7, 20, 24, 14, 41, 36, 10, 79, 57, 8, 6, 36, 18, 43, 0, 7, 57, 27, 29, 10, 35, 13, 24, 8, 33, 51, 1, 46, 21, 24, 40, 29, 19, 46, 12, 2, 31, 9, 20, 48, 7, 0, 50, 2, NE
0, 0, 0, 0, 0, 0, 0, 0, 43, 36, 52, 32, 16, 35, 23, 19, 62, 51, 45, 25, 43, 50, 47, 19, 33, 47, 58, 54, 71, 61, 4, 36, 69, 37, 52, 61, 56, 80, 51, 31, 40, 42, 46, 64, 52, 40, 17, 14, 6, 48, 12, 51, 44, 62, 16, 3, 27, 28, 38, 5, 22, 54, 18, 26, 0, 18, 1, 10, 0, 44, 29, 6, 42, 9, 50, 34, 33, 4, 44, 6, 12, 33, 7, 18, 41, 10, 36, 10, 0, SU
0, 0, 0, 0, 0, 0, 0, 0, 3, 24, 51, 3, 14, 10, 6, 4, 0, 0, 22, 0, 0, 0, 5, 30, 3, 2, 7, 19, 52, 44, 0, 41, 56, 0, 8, 40, 37, 81, 66, 44, 68, 52, 27, 29, 83, 3, 31, 28, 23, 41, 37, 4, 49, 43, 18, 9, 55, 16, 53, 36, 1, 68, 9, 54, 23, 33, 57, 56, 21, 22, 44, 0, 43, 32, 65, 79, 72, 30, 31, 19, 0, 21, 50, 19, 57, 34, 13, 52, 15, HA
0, 0, 0, 0, 0, 0, 0, 0, 4, 25, 60, 14, 17, 10, 10, 4, 2, 0, 38, 0, 0, 0, 11, 23, 5, 6, 1, 22, 64, 63, 2, 53, 47, 4, 8, 30, 39, 83, 52, 36, 65, 54, 6, 44, 84, 1, 27, 20, 39, 45, 33, 3, 47, 59, 19, 0, 40, 10, 50, 0, 0, 66, 13, 33, 6, 36, 52, 39, 0, 19, 52, 1, 42, 25, 54, 56, 45, 18, 45, 1, 0, 38, 47, 12, 67, 11, 10, 43, 19, NE
0, 0, 0, 0, 0, 0, 0, 0, 42, 7, 65, 49, 13, 24, 16, 18, 72, 40, 47, 20, 6, 2, 18, 4, 0, 22, 31, 30, 68, 53, 0, 48, 32, 17, 14, 49, 46, 74, 73, 39, 83, 84, 16, 26, 73, 36, 38, 27, 34, 27, 30, 6, 66, 40, 39, 0, 25, 34, 51, 0, 5, 77, 13, 36, 0, 18, 45, 17, 0, 13, 49, 8, 48, 3, 41, 60, 35, 0, 41, 14, 0, 7, 46, 22, 52, 30, 3, 43, 5, SU
0, 0, 0, 0, 0, 0, 0, 0, 52, 9, 4, 0, 21, 18, 0, 8, 51, 12, 0, 9, 12, 14, 4, 2, 7, 41, 13, 42, 66, 56, 5, 49, 73, 4, 50, 60, 36, 73, 51, 10, 52, 61, 18, 86, 62, 4, 24, 3, 4, 21, 38, 3, 74, 31, 11, 20, 56, 27, 56, 6, 18, 32, 40, 8, 42, 37, 62, 48, 28, 42, 6, 15, 37, 18, 78, 105, 64, 10, 50, 19, 53, 53, 6, 58, 108, 19, 31, 32, 17, HA
0, 0, 0, 0, 0, 0, 0, 0, 49, 10, 0, 0, 3, 12, 0, 1, 52, 29, 0, 7, 4, 32, 11, 1, 3, 14, 11, 36, 43, 48, 4, 71, 60, 0, 30, 84, 22, 76, 49, 20, 39, 61, 8, 87, 65, 0, 30, 7, 11, 7, 32, 4, 82, 11, 19, 4, 48, 15, 51, 3, 6, 37, 15, 20, 8, 49, 54, 42, 8, 36, 8, 6, 45, 9, 66, 80, 55, 0, 50, 14, 55, 55, 0, 6, 8, 1, 23, 30, 6, NE
0, 0, 0, 0, 0, 0, 0, 0, 49, 10, 0, 0, 3, 12, 0, 1, 52, 29, 0, 7, 4, 32, 11, 1, 3, 14, 11, 36, 43, 48, 4, 71, 60, 0, 30, 84, 22, 76, 49, 20, 39, 61, 8, 87, 65, 0, 30, 7, 11, 7, 32, 4, 82, 11, 19, 4, 48, 15, 51, 3, 6, 37, 15, 20, 8, 49, 54, 42, 8, 36, 8, 6, 45, 9, 66, 80, 55, 0, 50, 14, 55, 55, 0, 6, 8, 1, 23, 30, 6, SA
0, 0, 0, 0, 0, 0, 0, 0, 37, 23, 6, 3, 3, 0, 1, 3, 57, 47, 10, 10, 0, 25, 37, 4, 3, 16, 58, 32, 17, 53, 9, 73, 40, 2, 11, 96, 13, 82, 41, 13, 37, 65, 8, 81, 65, 0, 9, 8, 9, 13, 25, 2, 95, 15, 7, 0, 62, 43, 48, 3, 10, 46, 16, 37, 5, 32, 44, 27, 5, 41, 15, 7, 46, 6, 56, 50, 21, 0, 51, 25, 42, 67, 1, 34, 70, 2, 8, 43, 11, SU
0, 0, 1, 0, 1, 0, 0, 0, 16, 10, 46, 33, 15, 15, 7, 14, 15, 1, 0, 0, 0, 0, 0, 0, 7, 1, 2, 11, 78, 44, 4, 71, 103, 13, 12, 7, 10, 98, 85, 31, 90, 105, 51, 40, 40, 15, 42, 39, 34, 49, 36, 0, 43, 62, 11, 8, 76, 56, 88, 72, 9, 32, 40, 12, 52, 37, 93, 60, 64, 44, 24, 28, 34, 50, 64, 91, 88, 7, 39, 39, 6, 45, 41, 19, 50, 21, 13, 50, 1, HA
0, 0, 2, 0, 0, 0, 0, 0, 23, 8, 45, 51, 40, 23, 10, 2, 26, 2, 5, 0, 0, 0, 2, 0, 4, 0, 4, 6, 57, 46, 7, 64, 98, 3, 10, 18, 0, 102, 85, 29, 76, 100, 42, 41, 36, 15, 50, 29, 36, 47, 39, 2, 46, 62, 20, 2, 60, 55, 88, 12, 14, 23, 39, 19, 40, 27, 54, 27, 51, 25, 30, 11, 54, 17, 71, 102, 74, 35, 30, 15, 8, 27, 45, 17, 27, 11, 4, 46, 1, NE
0, 0, 0, 0, 0, 0, 0, 0, 39, 2, 43, 47, 52, 36, 15, 1, 12, 1, 6, 0, 0, 0, 0, 0, 7, 0, 8, 3, 55, 38, 2, 51, 82, 2, 9, 23, 2, 84, 76, 39, 79, 103, 48, 38, 46, 10, 64, 32, 35, 42, 43, 2, 52, 81, 19, 3, 54, 46, 80, 27, 24, 11, 29, 32, 29, 46, 56, 32, 49, 20, 26, 7, 44, 33, 72, 128, 105, 52, 38, 19, 15, 17, 60, 43, 39, 32, 17, 44, 6, SA
0, 0, 0, 0, 0, 0, 0, 0, 51, 26, 47, 45, 28, 19, 12, 34, 14, 18, 19, 0, 0, 0, 2, 0, 5, 2, 25, 8, 58, 40, 2, 64, 103, 18, 43, 35, 11, 90, 101, 15, 76, 91, 47, 44, 34, 18, 68, 29, 44, 44, 43, 2, 38, 61, 9, 3, 43, 42, 82, 9, 1, 12, 61, 23, 4, 41, 57, 31, 39, 7, 6, 26, 43, 4, 13, 52, 53, 16, 7, 48, 5, 53, 9, 20, 45, 57, 4, 22, 33, SU
0, 0, 0, 0, 0, 0, 0, 0, 70, 25, 8, 11, 13, 13, 6, 14, 54, 52, 8, 1, 0, 0, 0, 12, 9, 60, 87, 13, 57, 42, 1, 26, 42, 23, 74, 88, 14, 39, 58, 30, 64, 68, 23, 97, 83, 5, 43, 45, 13, 37, 47, 5, 93, 65, 16, 32, 70, 20, 48, 28, 9, 72, 42, 16, 63, 53, 91, 77, 60, 30, 39, 5, 82, 33, 21, 60, 40, 48, 58, 6, 1, 51, 8, 27, 14, 37, 12, 53, 0, HA
0, 0, 1, 0, 0, 0, 0, 0, 61, 5, 5, 3, 8, 17, 7, 0, 1, 75, 7, 2, 0, 0, 0, 4, 0, 25, 100, 22, 53, 34, 3, 23, 38, 36, 58, 73, 20, 58, 44, 33, 62, 57, 30, 58, 64, 1, 42, 45, 14, 27, 51, 8, 41, 60, 1, 0, 28, 5, 40, 1, 3, 64, 40, 26, 26, 59, 64, 60, 18, 7, 63, 3, 71, 24, 49, 91, 43, 19, 46, 21, 0, 41, 6, 6, 17, 13, 0, 65, 1, NE
0, 0, 0, 0, 0, 0, 0, 0, 21, 6, 7, 6, 10, 5, 12, 9, 31, 20, 0, 1, 0, 0, 0, 5, 0, 55, 49, 34, 47, 28, 2, 38, 47, 32, 68, 62, 22, 54, 45, 28, 56, 54, 20, 63, 57, 1, 46, 43, 19, 35, 47, 12, 54, 48, 2, 2, 40, 5, 40, 19, 0, 67, 66, 10, 15, 59, 93, 84, 58, 14, 57, 30, 45, 34, 48, 89, 61, 40, 39, 25, 1, 57, 3, 13, 8, 21, 2, 55, 0, SA
0, 0, 0, 0, 0, 0, 0, 0, 19, 13, 6, 11, 18, 17, 12, 18, 50, 21, 2, 4, 3, 6, 13, 4, 33, 59, 61, 17, 49, 49, 7, 34, 61, 68, 59, 67, 6, 70, 55, 33, 57, 74, 43, 50, 67, 0, 43, 43, 12, 33, 35, 26, 42, 60, 0, 0, 34, 4, 26, 0, 45, 14, 77, 10, 4, 47, 83, 71, 4, 59, 12, 32, 46, 43, 45, 69, 57, 59, 68, 0, 3, 49, 11, 27, 72, 36, 65, 11, 0, SU
0, 0, 0, 0, 0, 0, 0, 0, 21, 59, 40, 0, 0, 0, 13, 37, 2, 13, 5, 0, 0, 0, 0, 0, 31, 19, 37, 39, 73, 54, 13, 75, 53, 39, 42, 99, 51, 94, 58, 92, 38, 65, 68, 45, 69, 58, 48, 73, 37, 33, 38, 54, 62, 8, 50, 58, 69, 0, 83, 67, 16, 39, 1, 26, 1, 51, 108, 52, 10, 33, 9, 0, 41, 23, 75, 100, 68, 7, 53, 4, 1, 44, 62, 14, 48, 23, 26, 69, 25, NE
0, 0, 0, 0, 0, 0, 0, 0, 51, 1, 53, 56, 54, 64, 24, 36, 66, 55, 54, 8, 0, 0, 0, 0, 52, 56, 64, 14, 99, 76, 0, 92, 89, 18, 33, 82, 56, 93, 62, 105, 66, 88, 63, 55, 79, 41, 6, 61, 40, 70, 51, 30, 96, 33, 14, 62, 67, 38, 79, 64, 9, 37, 22, 16, 1, 32, 99, 46, 0, 30, 25, 22, 41, 44, 43, 62, 35, 11, 46, 24, 15, 34, 54, 6, 37, 11, 52, 15, 27, SU
0, 0, 0, 0, 0, 0, 0, 0, 42, 52, 22, 13, 3, 11, 19, 25, 41, 56, 3, 0, 0, 2, 0, 0, 0, 53, 50, 33, 35, 35, 15, 63, 75, 22, 85, 76, 62, 68, 71, 46, 50, 53, 22, 95, 76, 30, 29, 24, 14, 33, 38, 4, 85, 35, 25, 3, 57, 15, 52, 25, 4, 46, 34, 48, 48, 35, 39, 37, 52, 34, 58, 30, 42, 47, 23, 54, 49, 18, 33, 45, 30, 27, 43, 22, 30, 23, 24, 51, 40, HA
0, 0, 0, 0, 0, 0, 0, 0, 52, 43, 18, 0, 0, 8, 22, 1, 50, 63, 2, 0, 0, 2, 0, 0, 2, 61, 68, 23, 51, 37, 31, 67, 75, 24, 76, 84, 56, 65, 77, 47, 40, 45, 7, 86, 72, 34, 37, 26, 23, 33, 31, 9, 73, 41, 34, 0, 40, 26, 45, 4, 4, 60, 40, 41, 3, 50, 31, 50, 46, 17, 69, 22, 51, 38, 35, 90, 54, 32, 32, 26, 41, 30, 54, 14, 9, 22, 6, 40, 63, NE
0, 0, 0, 0, 0, 0, 0, 0, 62, 29, 40, 14, 3, 18, 14, 63, 1, 51, 2, 0, 0, 1, 0, 0, 18, 43, 39, 5, 74, 54, 18, 76, 80, 56, 57, 83, 35, 34, 58, 56, 48, 64, 25, 83, 99, 21, 45, 21, 9, 42, 28, 5, 73, 67, 19, 0, 21, 40, 41, 4, 1, 52, 43, 41, 2, 19, 48, 47, 23, 33, 50, 28, 52, 1, 44, 63, 52, 38, 42, 37, 31, 37, 34, 9, 70, 56, 10, 60, 35, SU
