@RELATION	'emotions'

@ATTRIBUTE	eyes	NUMERIC
@ATTRIBUTE	eyes2	NUMERIC
@ATTRIBUTE	mouth	NUMERIC
@ATTRIBUTE	s_0	NUMERIC
@ATTRIBUTE	s_1	NUMERIC
@ATTRIBUTE	s_2	NUMERIC
@ATTRIBUTE	s_3	NUMERIC
@ATTRIBUTE	s_4	NUMERIC
@ATTRIBUTE	cpt_0	NUMERIC
@ATTRIBUTE	cpt_1	NUMERIC
@ATTRIBUTE	cpt_2	NUMERIC
@ATTRIBUTE	cpt_3	NUMERIC
@ATTRIBUTE	cpt_4	NUMERIC
@ATTRIBUTE	cpt_5	NUMERIC
@ATTRIBUTE	cpt_6	NUMERIC
@ATTRIBUTE	cpt_7	NUMERIC
@ATTRIBUTE	cpt_8	NUMERIC
@ATTRIBUTE	cpt_9	NUMERIC
@ATTRIBUTE	cpt_10	NUMERIC
@ATTRIBUTE	cpt_11	NUMERIC
@ATTRIBUTE	cpt_12	NUMERIC
@ATTRIBUTE	cpt_13	NUMERIC
@ATTRIBUTE	cpt_14	NUMERIC
@ATTRIBUTE	cpt_15	NUMERIC
@ATTRIBUTE	cpt_16	NUMERIC
@ATTRIBUTE	cpt_17	NUMERIC
@ATTRIBUTE	cpt_18	NUMERIC
@ATTRIBUTE	cpt_19	NUMERIC
@ATTRIBUTE	cpt_20	NUMERIC
@ATTRIBUTE	cpt_21	NUMERIC
@ATTRIBUTE	cpt_22	NUMERIC
@ATTRIBUTE	cpt_23	NUMERIC
@ATTRIBUTE	cpt_24	NUMERIC
@ATTRIBUTE	cpt_25	NUMERIC
@ATTRIBUTE	cpt_26	NUMERIC
@ATTRIBUTE	cpt_27	NUMERIC
@ATTRIBUTE	cpt_28	NUMERIC
@ATTRIBUTE	cpt_29	NUMERIC
@ATTRIBUTE	cpt_30	NUMERIC
@ATTRIBUTE	cpt_31	NUMERIC
@ATTRIBUTE	cpt_32	NUMERIC
@ATTRIBUTE	cpt_33	NUMERIC
@ATTRIBUTE	cpt_34	NUMERIC
@ATTRIBUTE	cpt_35	NUMERIC
@ATTRIBUTE	cpt_36	NUMERIC
@ATTRIBUTE	cpt_37	NUMERIC
@ATTRIBUTE	cpt_38	NUMERIC
@ATTRIBUTE	cpt_39	NUMERIC
@ATTRIBUTE	cpt_40	NUMERIC
@ATTRIBUTE	cpt_41	NUMERIC
@ATTRIBUTE	cpt_42	NUMERIC
@ATTRIBUTE	cpt_43	NUMERIC
@ATTRIBUTE	cpt_44	NUMERIC
@ATTRIBUTE	cpt_45	NUMERIC
@ATTRIBUTE	cpt_46	NUMERIC
@ATTRIBUTE	cpt_47	NUMERIC
@ATTRIBUTE	cpt_48	NUMERIC
@ATTRIBUTE	cpt_49	NUMERIC
@ATTRIBUTE	cpt_50	NUMERIC
@ATTRIBUTE	cpt_51	NUMERIC
@ATTRIBUTE	cpt_52	NUMERIC
@ATTRIBUTE	cpt_53	NUMERIC
@ATTRIBUTE	cpt_54	NUMERIC
@ATTRIBUTE	cpt_55	NUMERIC
@ATTRIBUTE	cpt_56	NUMERIC
@ATTRIBUTE	cpt_57	NUMERIC
@ATTRIBUTE	cpt_58	NUMERIC
@ATTRIBUTE	cpt_59	NUMERIC
@ATTRIBUTE	cpt_60	NUMERIC
@ATTRIBUTE	cpt_61	NUMERIC
@ATTRIBUTE	cpt_62	NUMERIC
@ATTRIBUTE	cpt_63	NUMERIC
@ATTRIBUTE	cpt_64	NUMERIC
@ATTRIBUTE	cpt_65	NUMERIC
@ATTRIBUTE	cpt_66	NUMERIC
@ATTRIBUTE	cpt_67	NUMERIC
@ATTRIBUTE	cpt_68	NUMERIC
@ATTRIBUTE	cpt_69	NUMERIC
@ATTRIBUTE	cpt_70	NUMERIC
@ATTRIBUTE	cpt_71	NUMERIC
@ATTRIBUTE	cpt_72	NUMERIC
@ATTRIBUTE	cpt_73	NUMERIC
@ATTRIBUTE	cpt_74	NUMERIC
@ATTRIBUTE	cpt_75	NUMERIC
@ATTRIBUTE	cpt_76	NUMERIC
@ATTRIBUTE	cpt_77	NUMERIC
@ATTRIBUTE	cpt_78	NUMERIC
@ATTRIBUTE	cpt_79	NUMERIC
@ATTRIBUTE	cpt_80	NUMERIC
@ATTRIBUTE	cpt_81	NUMERIC
@ATTRIBUTE	cpt_82	NUMERIC
@ATTRIBUTE	cpt_83	NUMERIC
@ATTRIBUTE	cpt_84	NUMERIC
@ATTRIBUTE	cpt_85	NUMERIC
@ATTRIBUTE	cpt_86	NUMERIC
@ATTRIBUTE	cpt_87	NUMERIC
@ATTRIBUTE	cpt_88	NUMERIC
@ATTRIBUTE	cpt_89	NUMERIC
@ATTRIBUTE	cpt_90	NUMERIC
@ATTRIBUTE	cpt_91	NUMERIC
@ATTRIBUTE	cpt_92	NUMERIC
@ATTRIBUTE	cpt_93	NUMERIC
@ATTRIBUTE	cpt_94	NUMERIC
@ATTRIBUTE	cpt_95	NUMERIC
@ATTRIBUTE	cpt_96	NUMERIC
@ATTRIBUTE	cpt_97	NUMERIC
@ATTRIBUTE	cpt_98	NUMERIC
@ATTRIBUTE	cpt_99	NUMERIC
@ATTRIBUTE	emotion	{AN,DI,FE,HA,NE,SA,SU}

@DATA
0, 0, 0, 0, 0, 0, 0, 0, 31, 33, 20, 25, 19, 6, 13, 22, 39, 51, 40, 17, 14, 23, 23, 27, 16, 13, 19, 38, 53, 34, 55, 68, 39, 44, 16, 40, 20, 29, 62, 21, 46, 55, 60, 34, 63, 83, 58, 28, 57, 19, 32, 53, 70, 18, 58, 67, 53, 19, 60, 23, 12, 32, 48, 12, 48, 32, 27, 15, 29, 44, 18, 17, 74, 52, 50, 18, 18, 51, 10, 44, 14, 12, 31, 28, 28, 10, 19, 45, 10, 58, 22, 35, 73, 74, 60, 16, 23, 45, 45, 16, 27, 27, 31, 37, 35, 11, 15, 0, AN
0, 0, 0, 0, 0, 0, 0, 0, 39, 19, 22, 23, 16, 10, 7, 22, 33, 51, 42, 19, 19, 23, 15, 17, 17, 14, 21, 25, 56, 31, 54, 62, 49, 37, 15, 43, 18, 32, 66, 13, 48, 73, 58, 34, 71, 82, 63, 32, 55, 15, 25, 52, 58, 16, 63, 62, 43, 15, 64, 29, 19, 32, 50, 8, 49, 30, 30, 18, 15, 44, 24, 12, 82, 49, 60, 19, 20, 54, 12, 49, 21, 14, 23, 22, 30, 15, 19, 43, 30, 55, 17, 34, 66, 78, 59, 17, 23, 30, 38, 7, 27, 16, 31, 33, 24, 8, 17, 0, AN
0, 0, 0, 0, 0, 0, 0, 0, 2, 22, 29, 29, 36, 32, 32, 30, 33, 46, 27, 16, 25, 25, 42, 31, 26, 39, 30, 45, 43, 39, 28, 33, 38, 48, 41, 46, 40, 50, 63, 32, 53, 50, 51, 47, 54, 42, 57, 54, 59, 23, 45, 50, 51, 24, 53, 51, 46, 36, 54, 18, 18, 25, 50, 20, 63, 16, 34, 36, 72, 40, 34, 25, 50, 19, 63, 21, 34, 56, 0, 62, 33, 21, 56, 29, 44, 31, 30, 60, 5, 60, 27, 53, 61, 42, 76, 46, 25, 52, 6, 50, 32, 29, 35, 60, 59, 31, 57, 28, AN
0, 0, 0, 0, 0, 0, 0, 0, 49, 17, 20, 18, 10, 7, 13, 21, 51, 43, 54, 13, 17, 17, 7, 14, 7, 24, 22, 61, 38, 24, 27, 29, 24, 22, 19, 19, 24, 59, 8, 56, 59, 71, 77, 49, 65, 57, 53, 74, 25, 40, 46, 52, 53, 23, 50, 62, 48, 52, 43, 27, 8, 29, 56, 31, 40, 35, 8, 46, 19, 52, 14, 19, 54, 32, 58, 31, 25, 57, 5, 47, 12, 20, 64, 43, 53, 27, 21, 47, 11, 21, 37, 29, 56, 72, 70, 46, 23, 44, 6, 43, 34, 32, 21, 43, 23, 24, 22, 60, AN
0, 0, 0, 0, 0, 0, 0, 0, 53, 20, 16, 14, 5, 9, 17, 26, 54, 44, 46, 13, 19, 17, 9, 8, 5, 22, 22, 66, 35, 29, 24, 28, 25, 22, 21, 20, 26, 80, 6, 53, 65, 74, 75, 54, 67, 63, 45, 72, 44, 40, 48, 49, 59, 29, 41, 62, 34, 53, 38, 34, 8, 24, 58, 26, 41, 37, 11, 53, 8, 50, 11, 21, 54, 36, 51, 28, 21, 64, 7, 41, 14, 22, 54, 37, 47, 26, 25, 39, 6, 34, 23, 32, 48, 60, 55, 30, 17, 43, 7, 49, 36, 27, 46, 50, 36, 28, 31, 55, AN
0, 0, 0, 0, 0, 0, 0, 0, 49, 13, 18, 17, 3, 5, 22, 29, 47, 42, 45, 7, 21, 17, 6, 8, 4, 21, 10, 54, 40, 29, 18, 20, 21, 12, 19, 20, 23, 75, 13, 53, 69, 64, 60, 56, 70, 62, 52, 69, 41, 28, 40, 39, 54, 28, 42, 38, 43, 42, 36, 31, 6, 32, 57, 23, 40, 36, 11, 50, 2, 52, 14, 20, 51, 33, 62, 20, 17, 58, 8, 39, 12, 24, 50, 25, 48, 27, 20, 44, 12, 36, 32, 25, 41, 55, 53, 49, 15, 48, 10, 43, 32, 33, 50, 48, 52, 30, 24, 57, AN
0, 0, 0, 0, 0, 0, 0, 0, 37, 18, 19, 11, 9, 2, 2, 10, 22, 35, 44, 15, 18, 15, 5, 5, 7, 13, 13, 35, 54, 21, 60, 66, 40, 14, 18, 54, 56, 17, 47, 17, 46, 73, 65, 8, 65, 59, 36, 37, 39, 23, 34, 55, 62, 15, 69, 67, 42, 38, 51, 26, 23, 32, 43, 12, 47, 36, 32, 24, 43, 30, 27, 13, 70, 48, 59, 14, 21, 63, 20, 44, 27, 22, 25, 23, 45, 10, 20, 44, 41, 36, 24, 42, 59, 55, 61, 28, 15, 53, 12, 24, 14, 30, 27, 48, 31, 28, 27, 5, AN
0, 0, 0, 0, 0, 0, 0, 0, 23, 25, 16, 8, 15, 7, 7, 8, 7, 13, 3, 14, 11, 13, 5, 18, 21, 18, 29, 17, 5, 13, 22, 19, 8, 10, 25, 47, 43, 12, 60, 10, 56, 56, 61, 31, 43, 54, 36, 31, 74, 12, 54, 63, 55, 26, 63, 46, 59, 8, 70, 12, 18, 25, 27, 26, 31, 6, 13, 13, 77, 17, 23, 8, 41, 37, 63, 10, 17, 17, 27, 47, 18, 18, 47, 53, 54, 43, 19, 48, 2, 42, 30, 43, 57, 64, 78, 65, 32, 48, 8, 33, 36, 39, 40, 55, 65, 30, 24, 40, AN
0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 11, 4, 6, 7, 2, 4, 10, 9, 0, 12, 13, 2, 2, 12, 20, 10, 23, 11, 1, 5, 37, 36, 14, 5, 27, 46, 41, 10, 53, 14, 40, 45, 48, 27, 38, 41, 27, 27, 64, 10, 58, 44, 56, 22, 58, 35, 45, 17, 69, 7, 11, 22, 28, 20, 39, 7, 8, 13, 76, 11, 6, 2, 51, 37, 66, 6, 5, 6, 7, 45, 7, 20, 32, 44, 49, 42, 11, 40, 0, 38, 17, 44, 58, 48, 60, 73, 26, 46, 0, 28, 34, 29, 42, 60, 69, 40, 13, 40, AN
0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 22, 6, 8, 0, 4, 3, 24, 18, 0, 13, 24, 17, 3, 4, 16, 17, 16, 11, 0, 9, 26, 46, 15, 6, 29, 44, 31, 1, 1, 21, 43, 32, 42, 45, 30, 48, 49, 36, 29, 18, 55, 52, 57, 18, 62, 57, 59, 43, 39, 10, 12, 27, 31, 40, 29, 18, 13, 29, 39, 18, 12, 13, 55, 51, 51, 10, 11, 35, 67, 21, 15, 30, 36, 35, 28, 36, 18, 47, 30, 35, 27, 61, 66, 78, 90, 65, 18, 45, 9, 58, 36, 33, 45, 73, 64, 30, 46, 36, AN
