@RELATION	'emotions'

@ATTRIBUTE	eyes	NUMERIC
@ATTRIBUTE	eyes2	NUMERIC
@ATTRIBUTE	mouth	NUMERIC
@ATTRIBUTE	s_0	NUMERIC
@ATTRIBUTE	s_1	NUMERIC
@ATTRIBUTE	s_2	NUMERIC
@ATTRIBUTE	s_3	NUMERIC
@ATTRIBUTE	s_4	NUMERIC
@ATTRIBUTE	cpt_0	NUMERIC
@ATTRIBUTE	cpt_1	NUMERIC
@ATTRIBUTE	cpt_2	NUMERIC
@ATTRIBUTE	cpt_3	NUMERIC
@ATTRIBUTE	cpt_4	NUMERIC
@ATTRIBUTE	cpt_5	NUMERIC
@ATTRIBUTE	cpt_6	NUMERIC
@ATTRIBUTE	cpt_7	NUMERIC
@ATTRIBUTE	cpt_8	NUMERIC
@ATTRIBUTE	cpt_9	NUMERIC
@ATTRIBUTE	cpt_10	NUMERIC
@ATTRIBUTE	cpt_11	NUMERIC
@ATTRIBUTE	cpt_12	NUMERIC
@ATTRIBUTE	cpt_13	NUMERIC
@ATTRIBUTE	cpt_14	NUMERIC
@ATTRIBUTE	cpt_15	NUMERIC
@ATTRIBUTE	cpt_16	NUMERIC
@ATTRIBUTE	cpt_17	NUMERIC
@ATTRIBUTE	cpt_18	NUMERIC
@ATTRIBUTE	cpt_19	NUMERIC
@ATTRIBUTE	cpt_20	NUMERIC
@ATTRIBUTE	cpt_21	NUMERIC
@ATTRIBUTE	cpt_22	NUMERIC
@ATTRIBUTE	cpt_23	NUMERIC
@ATTRIBUTE	cpt_24	NUMERIC
@ATTRIBUTE	cpt_25	NUMERIC
@ATTRIBUTE	cpt_26	NUMERIC
@ATTRIBUTE	cpt_27	NUMERIC
@ATTRIBUTE	cpt_28	NUMERIC
@ATTRIBUTE	cpt_29	NUMERIC
@ATTRIBUTE	cpt_30	NUMERIC
@ATTRIBUTE	cpt_31	NUMERIC
@ATTRIBUTE	cpt_32	NUMERIC
@ATTRIBUTE	cpt_33	NUMERIC
@ATTRIBUTE	cpt_34	NUMERIC
@ATTRIBUTE	cpt_35	NUMERIC
@ATTRIBUTE	cpt_36	NUMERIC
@ATTRIBUTE	cpt_37	NUMERIC
@ATTRIBUTE	cpt_38	NUMERIC
@ATTRIBUTE	cpt_39	NUMERIC
@ATTRIBUTE	cpt_40	NUMERIC
@ATTRIBUTE	cpt_41	NUMERIC
@ATTRIBUTE	cpt_42	NUMERIC
@ATTRIBUTE	cpt_43	NUMERIC
@ATTRIBUTE	cpt_44	NUMERIC
@ATTRIBUTE	cpt_45	NUMERIC
@ATTRIBUTE	cpt_46	NUMERIC
@ATTRIBUTE	cpt_47	NUMERIC
@ATTRIBUTE	cpt_48	NUMERIC
@ATTRIBUTE	cpt_49	NUMERIC
@ATTRIBUTE	cpt_50	NUMERIC
@ATTRIBUTE	cpt_51	NUMERIC
@ATTRIBUTE	cpt_52	NUMERIC
@ATTRIBUTE	cpt_53	NUMERIC
@ATTRIBUTE	cpt_54	NUMERIC
@ATTRIBUTE	cpt_55	NUMERIC
@ATTRIBUTE	cpt_56	NUMERIC
@ATTRIBUTE	cpt_57	NUMERIC
@ATTRIBUTE	cpt_58	NUMERIC
@ATTRIBUTE	cpt_59	NUMERIC
@ATTRIBUTE	cpt_60	NUMERIC
@ATTRIBUTE	cpt_61	NUMERIC
@ATTRIBUTE	cpt_62	NUMERIC
@ATTRIBUTE	cpt_63	NUMERIC
@ATTRIBUTE	cpt_64	NUMERIC
@ATTRIBUTE	cpt_65	NUMERIC
@ATTRIBUTE	cpt_66	NUMERIC
@ATTRIBUTE	cpt_67	NUMERIC
@ATTRIBUTE	cpt_68	NUMERIC
@ATTRIBUTE	cpt_69	NUMERIC
@ATTRIBUTE	cpt_70	NUMERIC
@ATTRIBUTE	cpt_71	NUMERIC
@ATTRIBUTE	cpt_72	NUMERIC
@ATTRIBUTE	cpt_73	NUMERIC
@ATTRIBUTE	cpt_74	NUMERIC
@ATTRIBUTE	cpt_75	NUMERIC
@ATTRIBUTE	cpt_76	NUMERIC
@ATTRIBUTE	cpt_77	NUMERIC
@ATTRIBUTE	cpt_78	NUMERIC
@ATTRIBUTE	cpt_79	NUMERIC
@ATTRIBUTE	cpt_80	NUMERIC
@ATTRIBUTE	cpt_81	NUMERIC
@ATTRIBUTE	cpt_82	NUMERIC
@ATTRIBUTE	cpt_83	NUMERIC
@ATTRIBUTE	cpt_84	NUMERIC
@ATTRIBUTE	cpt_85	NUMERIC
@ATTRIBUTE	cpt_86	NUMERIC
@ATTRIBUTE	cpt_87	NUMERIC
@ATTRIBUTE	cpt_88	NUMERIC
@ATTRIBUTE	cpt_89	NUMERIC
@ATTRIBUTE	cpt_90	NUMERIC
@ATTRIBUTE	cpt_91	NUMERIC
@ATTRIBUTE	cpt_92	NUMERIC
@ATTRIBUTE	cpt_93	NUMERIC
@ATTRIBUTE	cpt_94	NUMERIC
@ATTRIBUTE	cpt_95	NUMERIC
@ATTRIBUTE	cpt_96	NUMERIC
@ATTRIBUTE	cpt_97	NUMERIC
@ATTRIBUTE	cpt_98	NUMERIC
@ATTRIBUTE	cpt_99	NUMERIC
@ATTRIBUTE	cpt_100	NUMERIC
@ATTRIBUTE	cpt_101	NUMERIC
@ATTRIBUTE	cpt_102	NUMERIC
@ATTRIBUTE	cpt_103	NUMERIC
@ATTRIBUTE	cpt_104	NUMERIC
@ATTRIBUTE	cpt_105	NUMERIC
@ATTRIBUTE	cpt_106	NUMERIC
@ATTRIBUTE	cpt_107	NUMERIC
@ATTRIBUTE	cpt_108	NUMERIC
@ATTRIBUTE	cpt_109	NUMERIC
@ATTRIBUTE	cpt_110	NUMERIC
@ATTRIBUTE	cpt_111	NUMERIC
@ATTRIBUTE	cpt_112	NUMERIC
@ATTRIBUTE	cpt_113	NUMERIC
@ATTRIBUTE	cpt_114	NUMERIC
@ATTRIBUTE	cpt_115	NUMERIC
@ATTRIBUTE	cpt_116	NUMERIC
@ATTRIBUTE	cpt_117	NUMERIC
@ATTRIBUTE	cpt_118	NUMERIC
@ATTRIBUTE	cpt_119	NUMERIC
@ATTRIBUTE	cpt_120	NUMERIC
@ATTRIBUTE	emotion	{AN,DI,FE,HA,NE,SA,SU}

@DATA
0, 0, 0, 0, 0, 0, 0, 0, 20, 32, 18, 24, 17, 13, 6, 12, 20, 34, 49, 33, 15, 12, 20, 7, 28, 17, 14, 15, 26, 25, 44, 30, 13, 31, 35, 21, 21, 29, 20, 16, 30, 42, 27, 43, 64, 49, 46, 43, 45, 58, 38, 20, 57, 14, 42, 55, 36, 42, 51, 46, 71, 53, 21, 54, 17, 14, 42, 36, 30, 37, 39, 29, 17, 5, 47, 35, 11, 10, 46, 5, 31, 26, 16, 27, 33, 2, 42, 13, 14, 48, 46, 74, 22, 15, 20, 44, 9, 42, 15, 10, 13, 32, 18, 11, 9, 17, 42, 14, 55, 18, 21, 53, 54, 63, 35, 17, 17, 29, 39, 1, 32, 12, 31, 35, 31, 20, 8, 9, 0, AN
0, 0, 0, 0, 0, 0, 0, 0, 28, 23, 17, 22, 14, 6, 5, 10, 21, 30, 52, 35, 17, 17, 17, 13, 19, 16, 10, 17, 27, 13, 41, 33, 26, 29, 33, 14, 16, 29, 19, 8, 33, 49, 17, 34, 68, 50, 48, 43, 58, 63, 39, 26, 55, 9, 36, 64, 38, 41, 55, 41, 61, 48, 21, 50, 17, 18, 34, 32, 30, 32, 41, 31, 18, 9, 39, 39, 13, 19, 45, 14, 31, 23, 15, 24, 40, 5, 47, 17, 14, 44, 50, 78, 31, 17, 23, 44, 12, 35, 16, 19, 22, 28, 26, 12, 11, 15, 47, 29, 49, 19, 20, 37, 48, 47, 36, 22, 16, 8, 36, 0, 24, 6, 24, 39, 23, 16, 7, 9, 1, AN
0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 22, 24, 22, 34, 19, 25, 27, 24, 43, 19, 15, 19, 25, 34, 30, 23, 18, 39, 26, 34, 40, 27, 29, 17, 33, 28, 35, 29, 30, 27, 44, 54, 33, 33, 51, 45, 46, 52, 44, 46, 52, 56, 40, 24, 44, 44, 20, 45, 37, 25, 43, 57, 32, 48, 14, 19, 26, 31, 42, 27, 37, 28, 14, 30, 45, 30, 27, 24, 30, 28, 17, 42, 23, 30, 48, 46, 36, 36, 17, 34, 37, 43, 43, 19, 32, 48, 0, 59, 24, 24, 44, 23, 25, 30, 34, 21, 53, 6, 47, 20, 35, 47, 54, 65, 62, 35, 17, 45, 6, 35, 26, 29, 24, 41, 44, 38, 29, 55, 9, AN
0, 0, 0, 0, 0, 0, 0, 0, 46, 5, 27, 13, 9, 4, 13, 11, 12, 47, 38, 50, 9, 16, 22, 6, 8, 11, 9, 27, 30, 44, 33, 18, 17, 24, 20, 6, 15, 17, 24, 18, 62, 5, 58, 45, 47, 56, 50, 52, 52, 42, 29, 71, 6, 47, 30, 57, 40, 35, 35, 41, 51, 35, 54, 32, 28, 17, 24, 29, 40, 38, 34, 49, 9, 45, 30, 37, 10, 11, 32, 33, 28, 32, 12, 10, 46, 1, 52, 11, 16, 38, 36, 57, 37, 22, 19, 51, 6, 20, 30, 13, 48, 36, 38, 30, 26, 22, 34, 9, 6, 34, 24, 39, 62, 68, 51, 27, 27, 19, 6, 38, 39, 14, 26, 26, 46, 23, 20, 33, 45, AN
0, 0, 0, 0, 0, 0, 0, 0, 47, 14, 16, 13, 6, 4, 11, 14, 20, 49, 38, 45, 14, 12, 20, 9, 7, 4, 9, 26, 34, 45, 29, 21, 18, 19, 24, 5, 12, 18, 20, 17, 74, 5, 57, 47, 46, 53, 57, 52, 52, 45, 29, 72, 21, 41, 40, 63, 42, 33, 36, 52, 53, 27, 51, 35, 30, 14, 23, 29, 38, 39, 31, 37, 3, 48, 18, 42, 8, 14, 35, 26, 35, 27, 16, 20, 55, 1, 47, 11, 16, 32, 40, 49, 31, 25, 17, 47, 5, 19, 24, 19, 42, 38, 45, 25, 25, 22, 28, 6, 19, 36, 23, 37, 55, 57, 49, 18, 32, 32, 6, 38, 30, 15, 33, 33, 30, 18, 17, 32, 39, AN
0, 0, 0, 0, 0, 0, 0, 0, 44, 8, 19, 13, 7, 0, 12, 20, 20, 42, 38, 42, 6, 13, 18, 8, 5, 8, 6, 22, 21, 47, 35, 19, 18, 20, 14, 5, 6, 18, 12, 11, 70, 6, 51, 53, 45, 56, 48, 55, 53, 51, 29, 68, 28, 37, 39, 56, 24, 30, 34, 40, 37, 39, 40, 34, 22, 7, 14, 28, 38, 34, 30, 42, 5, 46, 12, 48, 6, 16, 29, 37, 35, 33, 11, 13, 54, 0, 39, 13, 17, 32, 35, 49, 36, 26, 19, 34, 9, 14, 34, 14, 39, 18, 41, 30, 16, 22, 37, 12, 28, 35, 22, 37, 44, 41, 57, 29, 18, 45, 6, 37, 25, 19, 35, 42, 39, 32, 25, 24, 46, AN
0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 15, 12, 6, 2, 1, 4, 11, 21, 41, 39, 10, 14, 18, 9, 5, 3, 8, 18, 13, 28, 41, 15, 38, 60, 29, 5, 8, 3, 23, 19, 19, 41, 16, 27, 46, 60, 35, 20, 63, 58, 44, 22, 41, 17, 37, 60, 40, 50, 43, 51, 61, 41, 36, 42, 22, 16, 37, 31, 37, 31, 44, 26, 25, 23, 45, 24, 16, 13, 30, 27, 26, 26, 19, 23, 42, 24, 33, 19, 22, 35, 50, 64, 30, 17, 19, 62, 17, 43, 25, 22, 12, 27, 17, 23, 14, 26, 23, 39, 35, 17, 25, 61, 63, 64, 41, 17, 25, 44, 3, 17, 12, 22, 7, 21, 30, 19, 22, 17, 5, AN
0, 0, 0, 0, 0, 0, 0, 0, 21, 24, 13, 5, 13, 9, 4, 9, 6, 9, 8, 3, 4, 17, 14, 9, 11, 8, 25, 13, 22, 18, 0, 11, 18, 7, 5, 5, 10, 9, 33, 27, 9, 40, 4, 43, 60, 55, 22, 31, 46, 30, 41, 26, 66, 9, 38, 60, 26, 47, 52, 23, 60, 45, 9, 59, 8, 27, 20, 32, 32, 13, 44, 25, 11, 5, 76, 9, 15, 8, 12, 33, 26, 29, 8, 17, 17, 53, 25, 19, 11, 23, 47, 43, 41, 6, 17, 38, 8, 42, 21, 14, 35, 41, 49, 53, 41, 20, 40, 1, 34, 21, 32, 51, 37, 54, 65, 43, 14, 41, 6, 22, 35, 37, 22, 41, 59, 49, 28, 23, 27, AN
0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 7, 4, 9, 2, 2, 4, 5, 6, 0, 2, 16, 5, 2, 7, 6, 21, 9, 25, 8, 0, 6, 22, 4, 2, 5, 9, 6, 42, 25, 2, 26, 2, 48, 59, 54, 18, 21, 49, 17, 32, 15, 62, 8, 31, 57, 23, 42, 50, 19, 50, 47, 12, 56, 4, 29, 16, 27, 30, 15, 31, 21, 13, 5, 65, 5, 13, 2, 12, 33, 18, 34, 0, 8, 12, 50, 26, 6, 0, 22, 49, 39, 40, 3, 5, 26, 0, 40, 8, 10, 33, 39, 45, 47, 43, 8, 42, 0, 30, 23, 27, 53, 34, 57, 66, 50, 10, 41, 0, 18, 36, 24, 26, 34, 54, 43, 20, 10, 35, AN
0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 21, 6, 10, 0, 1, 3, 2, 25, 25, 0, 9, 18, 11, 11, 3, 2, 22, 9, 20, 3, 0, 4, 20, 34, 6, 6, 4, 12, 25, 17, 0, 0, 9, 29, 29, 60, 15, 34, 40, 37, 42, 22, 15, 12, 42, 62, 20, 43, 49, 31, 59, 33, 46, 35, 16, 26, 26, 34, 36, 28, 36, 34, 18, 38, 32, 8, 15, 3, 24, 36, 33, 27, 6, 11, 37, 35, 13, 14, 11, 35, 30, 44, 21, 5, 11, 39, 61, 20, 21, 27, 36, 45, 53, 45, 27, 15, 46, 10, 43, 19, 45, 54, 55, 51, 69, 47, 11, 39, 8, 51, 33, 32, 25, 48, 60, 44, 25, 48, 15, AN
