@RELATION	'emotions'

@ATTRIBUTE	eyes	NUMERIC
@ATTRIBUTE	eyes2	NUMERIC
@ATTRIBUTE	mouth	NUMERIC
@ATTRIBUTE	s_0	NUMERIC
@ATTRIBUTE	s_1	NUMERIC
@ATTRIBUTE	s_2	NUMERIC
@ATTRIBUTE	s_3	NUMERIC
@ATTRIBUTE	s_4	NUMERIC
@ATTRIBUTE	cpt_0	NUMERIC
@ATTRIBUTE	cpt_1	NUMERIC
@ATTRIBUTE	cpt_2	NUMERIC
@ATTRIBUTE	cpt_3	NUMERIC
@ATTRIBUTE	cpt_4	NUMERIC
@ATTRIBUTE	cpt_5	NUMERIC
@ATTRIBUTE	cpt_6	NUMERIC
@ATTRIBUTE	cpt_7	NUMERIC
@ATTRIBUTE	cpt_8	NUMERIC
@ATTRIBUTE	cpt_9	NUMERIC
@ATTRIBUTE	cpt_10	NUMERIC
@ATTRIBUTE	cpt_11	NUMERIC
@ATTRIBUTE	cpt_12	NUMERIC
@ATTRIBUTE	cpt_13	NUMERIC
@ATTRIBUTE	cpt_14	NUMERIC
@ATTRIBUTE	cpt_15	NUMERIC
@ATTRIBUTE	cpt_16	NUMERIC
@ATTRIBUTE	cpt_17	NUMERIC
@ATTRIBUTE	cpt_18	NUMERIC
@ATTRIBUTE	cpt_19	NUMERIC
@ATTRIBUTE	cpt_20	NUMERIC
@ATTRIBUTE	cpt_21	NUMERIC
@ATTRIBUTE	cpt_22	NUMERIC
@ATTRIBUTE	cpt_23	NUMERIC
@ATTRIBUTE	cpt_24	NUMERIC
@ATTRIBUTE	cpt_25	NUMERIC
@ATTRIBUTE	cpt_26	NUMERIC
@ATTRIBUTE	cpt_27	NUMERIC
@ATTRIBUTE	cpt_28	NUMERIC
@ATTRIBUTE	cpt_29	NUMERIC
@ATTRIBUTE	cpt_30	NUMERIC
@ATTRIBUTE	cpt_31	NUMERIC
@ATTRIBUTE	cpt_32	NUMERIC
@ATTRIBUTE	cpt_33	NUMERIC
@ATTRIBUTE	cpt_34	NUMERIC
@ATTRIBUTE	cpt_35	NUMERIC
@ATTRIBUTE	cpt_36	NUMERIC
@ATTRIBUTE	cpt_37	NUMERIC
@ATTRIBUTE	cpt_38	NUMERIC
@ATTRIBUTE	cpt_39	NUMERIC
@ATTRIBUTE	cpt_40	NUMERIC
@ATTRIBUTE	cpt_41	NUMERIC
@ATTRIBUTE	cpt_42	NUMERIC
@ATTRIBUTE	cpt_43	NUMERIC
@ATTRIBUTE	cpt_44	NUMERIC
@ATTRIBUTE	cpt_45	NUMERIC
@ATTRIBUTE	cpt_46	NUMERIC
@ATTRIBUTE	cpt_47	NUMERIC
@ATTRIBUTE	cpt_48	NUMERIC
@ATTRIBUTE	cpt_49	NUMERIC
@ATTRIBUTE	cpt_50	NUMERIC
@ATTRIBUTE	cpt_51	NUMERIC
@ATTRIBUTE	cpt_52	NUMERIC
@ATTRIBUTE	cpt_53	NUMERIC
@ATTRIBUTE	cpt_54	NUMERIC
@ATTRIBUTE	cpt_55	NUMERIC
@ATTRIBUTE	cpt_56	NUMERIC
@ATTRIBUTE	cpt_57	NUMERIC
@ATTRIBUTE	cpt_58	NUMERIC
@ATTRIBUTE	cpt_59	NUMERIC
@ATTRIBUTE	cpt_60	NUMERIC
@ATTRIBUTE	cpt_61	NUMERIC
@ATTRIBUTE	cpt_62	NUMERIC
@ATTRIBUTE	cpt_63	NUMERIC
@ATTRIBUTE	cpt_64	NUMERIC
@ATTRIBUTE	cpt_65	NUMERIC
@ATTRIBUTE	cpt_66	NUMERIC
@ATTRIBUTE	cpt_67	NUMERIC
@ATTRIBUTE	cpt_68	NUMERIC
@ATTRIBUTE	cpt_69	NUMERIC
@ATTRIBUTE	cpt_70	NUMERIC
@ATTRIBUTE	cpt_71	NUMERIC
@ATTRIBUTE	cpt_72	NUMERIC
@ATTRIBUTE	cpt_73	NUMERIC
@ATTRIBUTE	cpt_74	NUMERIC
@ATTRIBUTE	cpt_75	NUMERIC
@ATTRIBUTE	cpt_76	NUMERIC
@ATTRIBUTE	cpt_77	NUMERIC
@ATTRIBUTE	cpt_78	NUMERIC
@ATTRIBUTE	cpt_79	NUMERIC
@ATTRIBUTE	cpt_80	NUMERIC
@ATTRIBUTE	cpt_81	NUMERIC
@ATTRIBUTE	cpt_82	NUMERIC
@ATTRIBUTE	cpt_83	NUMERIC
@ATTRIBUTE	cpt_84	NUMERIC
@ATTRIBUTE	cpt_85	NUMERIC
@ATTRIBUTE	cpt_86	NUMERIC
@ATTRIBUTE	cpt_87	NUMERIC
@ATTRIBUTE	cpt_88	NUMERIC
@ATTRIBUTE	cpt_89	NUMERIC
@ATTRIBUTE	cpt_90	NUMERIC
@ATTRIBUTE	cpt_91	NUMERIC
@ATTRIBUTE	cpt_92	NUMERIC
@ATTRIBUTE	cpt_93	NUMERIC
@ATTRIBUTE	cpt_94	NUMERIC
@ATTRIBUTE	cpt_95	NUMERIC
@ATTRIBUTE	cpt_96	NUMERIC
@ATTRIBUTE	cpt_97	NUMERIC
@ATTRIBUTE	cpt_98	NUMERIC
@ATTRIBUTE	cpt_99	NUMERIC
@ATTRIBUTE	cpt_100	NUMERIC
@ATTRIBUTE	cpt_101	NUMERIC
@ATTRIBUTE	cpt_102	NUMERIC
@ATTRIBUTE	cpt_103	NUMERIC
@ATTRIBUTE	cpt_104	NUMERIC
@ATTRIBUTE	cpt_105	NUMERIC
@ATTRIBUTE	cpt_106	NUMERIC
@ATTRIBUTE	cpt_107	NUMERIC
@ATTRIBUTE	cpt_108	NUMERIC
@ATTRIBUTE	cpt_109	NUMERIC
@ATTRIBUTE	cpt_110	NUMERIC
@ATTRIBUTE	cpt_111	NUMERIC
@ATTRIBUTE	cpt_112	NUMERIC
@ATTRIBUTE	cpt_113	NUMERIC
@ATTRIBUTE	cpt_114	NUMERIC
@ATTRIBUTE	cpt_115	NUMERIC
@ATTRIBUTE	cpt_116	NUMERIC
@ATTRIBUTE	cpt_117	NUMERIC
@ATTRIBUTE	cpt_118	NUMERIC
@ATTRIBUTE	cpt_119	NUMERIC
@ATTRIBUTE	cpt_120	NUMERIC
@ATTRIBUTE	cpt_121	NUMERIC
@ATTRIBUTE	cpt_122	NUMERIC
@ATTRIBUTE	cpt_123	NUMERIC
@ATTRIBUTE	cpt_124	NUMERIC
@ATTRIBUTE	cpt_125	NUMERIC
@ATTRIBUTE	cpt_126	NUMERIC
@ATTRIBUTE	cpt_127	NUMERIC
@ATTRIBUTE	cpt_128	NUMERIC
@ATTRIBUTE	cpt_129	NUMERIC
@ATTRIBUTE	cpt_130	NUMERIC
@ATTRIBUTE	cpt_131	NUMERIC
@ATTRIBUTE	cpt_132	NUMERIC
@ATTRIBUTE	cpt_133	NUMERIC
@ATTRIBUTE	cpt_134	NUMERIC
@ATTRIBUTE	cpt_135	NUMERIC
@ATTRIBUTE	cpt_136	NUMERIC
@ATTRIBUTE	cpt_137	NUMERIC
@ATTRIBUTE	cpt_138	NUMERIC
@ATTRIBUTE	cpt_139	NUMERIC
@ATTRIBUTE	cpt_140	NUMERIC
@ATTRIBUTE	cpt_141	NUMERIC
@ATTRIBUTE	cpt_142	NUMERIC
@ATTRIBUTE	cpt_143	NUMERIC
@ATTRIBUTE	emotion	{AN,DI,FE,HA,NE,SA,SU}

@DATA
0, 0, 0, 0, 0, 0, 0, 0, 10, 36, 15, 17, 23, 13, 4, 5, 8, 16, 30, 37, 22, 20, 13, 9, 12, 11, 16, 10, 21, 10, 21, 25, 30, 28, 5, 14, 28, 17, 22, 9, 23, 21, 14, 23, 35, 31, 28, 53, 41, 43, 44, 33, 42, 48, 35, 19, 48, 15, 34, 56, 49, 44, 9, 32, 41, 42, 25, 16, 43, 9, 17, 23, 29, 48, 3, 49, 37, 43, 35, 6, 43, 19, 12, 12, 21, 35, 7, 29, 33, 17, 11, 7, 27, 44, 10, 10, 25, 39, 13, 49, 11, 11, 23, 34, 0, 38, 12, 10, 17, 43, 37, 52, 9, 8, 17, 37, 8, 32, 15, 11, 9, 30, 29, 10, 9, 11, 16, 41, 10, 47, 21, 6, 42, 41, 45, 48, 21, 16, 15, 17, 35, 0, 27, 9, 25, 27, 32, 31, 10, 5, 8, 0, AN
0, 0, 0, 0, 0, 0, 0, 0, 14, 29, 15, 12, 16, 12, 4, 2, 16, 12, 26, 43, 25, 18, 18, 6, 13, 7, 12, 10, 10, 14, 23, 9, 31, 33, 8, 10, 24, 17, 20, 8, 24, 20, 12, 25, 35, 26, 26, 58, 38, 42, 36, 31, 43, 46, 29, 20, 49, 10, 30, 61, 62, 45, 11, 36, 53, 43, 37, 19, 45, 7, 17, 18, 33, 42, 5, 45, 32, 41, 22, 4, 43, 28, 16, 15, 21, 40, 5, 35, 26, 15, 19, 11, 14, 38, 14, 16, 23, 40, 26, 52, 13, 13, 16, 41, 6, 37, 14, 13, 17, 38, 22, 51, 13, 10, 22, 33, 10, 33, 15, 16, 20, 35, 29, 21, 17, 9, 9, 39, 24, 37, 21, 11, 26, 29, 45, 33, 19, 19, 15, 5, 32, 0, 18, 9, 17, 25, 27, 23, 7, 8, 7, 0, AN
0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 19, 17, 16, 30, 26, 15, 20, 23, 17, 36, 11, 13, 14, 21, 20, 29, 19, 29, 15, 29, 20, 29, 36, 11, 27, 15, 25, 25, 19, 19, 36, 32, 23, 35, 35, 26, 22, 38, 39, 41, 38, 42, 39, 34, 44, 45, 36, 33, 26, 40, 19, 24, 28, 43, 12, 35, 37, 35, 42, 17, 29, 32, 34, 33, 19, 33, 37, 18, 37, 15, 36, 15, 6, 16, 17, 38, 13, 41, 22, 23, 11, 25, 45, 25, 25, 21, 17, 38, 7, 24, 28, 20, 28, 41, 27, 41, 24, 15, 10, 48, 15, 47, 23, 13, 25, 44, 0, 55, 17, 18, 44, 24, 16, 17, 37, 23, 18, 47, 6, 42, 15, 22, 28, 55, 45, 67, 43, 29, 15, 40, 4, 16, 35, 32, 18, 21, 34, 43, 28, 25, 46, 9, AN
0, 0, 0, 0, 0, 0, 0, 0, 39, 1, 24, 13, 7, 6, 4, 9, 10, 9, 43, 34, 49, 0, 22, 15, 12, 4, 8, 8, 9, 20, 29, 38, 30, 14, 12, 27, 12, 9, 5, 10, 13, 24, 18, 41, 1, 51, 23, 43, 39, 43, 30, 38, 37, 40, 10, 56, 0, 46, 19, 29, 45, 37, 27, 29, 31, 34, 23, 59, 12, 42, 20, 31, 30, 44, 3, 47, 37, 40, 28, 38, 25, 36, 4, 8, 23, 41, 14, 33, 26, 25, 2, 37, 9, 45, 13, 8, 14, 35, 15, 45, 19, 9, 15, 39, 0, 30, 19, 14, 15, 55, 26, 58, 16, 25, 15, 46, 6, 7, 38, 11, 11, 46, 30, 19, 28, 18, 19, 28, 7, 7, 26, 15, 29, 46, 55, 57, 41, 18, 25, 16, 4, 27, 42, 11, 18, 14, 35, 27, 14, 18, 27, 41, AN
0, 0, 0, 0, 0, 0, 0, 0, 43, 2, 20, 10, 7, 5, 3, 8, 18, 11, 46, 34, 41, 4, 17, 20, 6, 7, 7, 5, 10, 22, 28, 38, 26, 17, 10, 27, 11, 8, 3, 11, 14, 26, 20, 53, 2, 55, 26, 42, 43, 39, 36, 35, 39, 42, 11, 69, 3, 41, 21, 32, 43, 41, 32, 24, 38, 27, 20, 54, 23, 41, 24, 38, 27, 44, 10, 45, 30, 39, 13, 41, 25, 31, 5, 10, 18, 45, 15, 30, 24, 20, 5, 41, 2, 47, 10, 6, 12, 41, 23, 40, 10, 15, 21, 46, 3, 21, 21, 18, 11, 50, 26, 50, 18, 23, 16, 33, 2, 7, 36, 10, 21, 36, 30, 31, 22, 14, 23, 26, 6, 11, 35, 13, 26, 46, 44, 52, 40, 14, 23, 29, 6, 36, 23, 15, 21, 26, 33, 17, 18, 11, 29, 35, AN
0, 0, 0, 0, 0, 0, 0, 0, 39, 5, 14, 11, 10, 0, 4, 9, 17, 16, 36, 34, 40, 6, 11, 16, 12, 4, 5, 9, 9, 21, 20, 31, 30, 16, 8, 18, 9, 8, 4, 4, 12, 15, 8, 52, 5, 50, 25, 36, 30, 22, 29, 33, 42, 44, 19, 64, 9, 46, 26, 44, 38, 44, 32, 29, 35, 34, 29, 45, 22, 27, 18, 27, 19, 40, 9, 43, 21, 32, 12, 35, 24, 31, 3, 9, 25, 43, 9, 30, 24, 18, 8, 39, 0, 42, 13, 8, 12, 36, 20, 38, 21, 11, 15, 47, 2, 15, 29, 11, 17, 53, 20, 59, 14, 19, 16, 28, 5, 9, 33, 9, 15, 30, 25, 31, 20, 17, 13, 32, 11, 18, 39, 15, 26, 39, 36, 42, 41, 19, 18, 41, 5, 34, 20, 14, 22, 31, 36, 34, 21, 19, 23, 41, AN
0, 0, 0, 0, 0, 0, 0, 0, 23, 20, 15, 7, 7, 6, 1, 0, 3, 11, 18, 29, 31, 9, 19, 15, 9, 4, 3, 3, 5, 17, 10, 20, 34, 15, 8, 31, 12, 0, 7, 3, 4, 3, 9, 19, 37, 16, 33, 45, 60, 43, 11, 21, 45, 55, 49, 14, 32, 11, 26, 56, 56, 53, 7, 41, 49, 50, 14, 28, 30, 11, 20, 28, 31, 40, 12, 40, 45, 36, 35, 22, 39, 23, 15, 21, 21, 29, 6, 35, 29, 20, 17, 14, 42, 22, 12, 12, 15, 46, 14, 40, 23, 8, 18, 43, 12, 34, 17, 16, 10, 44, 37, 60, 2, 11, 20, 46, 17, 35, 15, 16, 22, 17, 24, 13, 20, 16, 20, 13, 33, 37, 11, 15, 42, 51, 47, 53, 29, 11, 24, 41, 3, 12, 10, 10, 19, 10, 20, 26, 15, 19, 14, 1, AN
0, 0, 0, 0, 0, 0, 0, 0, 19, 22, 13, 3, 4, 10, 4, 3, 10, 3, 8, 7, 3, 2, 16, 12, 11, 7, 15, 20, 7, 8, 18, 16, 0, 8, 16, 8, 6, 1, 3, 12, 12, 7, 23, 9, 22, 5, 16, 32, 35, 24, 4, 25, 41, 46, 42, 12, 50, 10, 31, 41, 33, 32, 39, 29, 30, 40, 22, 13, 57, 5, 27, 39, 36, 45, 8, 43, 33, 32, 30, 5, 53, 5, 15, 9, 23, 19, 11, 26, 11, 5, 10, 8, 58, 14, 19, 7, 8, 28, 25, 37, 24, 5, 13, 12, 40, 34, 17, 11, 7, 45, 31, 41, 25, 9, 17, 27, 1, 35, 18, 5, 26, 36, 40, 42, 46, 36, 15, 36, 1, 22, 20, 18, 44, 36, 26, 51, 47, 32, 10, 37, 4, 5, 47, 20, 29, 26, 44, 53, 33, 23, 19, 24, AN
0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 7, 0, 5, 5, 2, 0, 3, 2, 4, 0, 1, 10, 9, 4, 2, 9, 7, 18, 7, 24, 10, 0, 6, 16, 6, 2, 1, 2, 9, 3, 13, 14, 1, 7, 2, 23, 31, 36, 28, 4, 26, 36, 42, 43, 12, 49, 13, 27, 42, 33, 26, 29, 32, 24, 35, 18, 13, 53, 0, 34, 28, 24, 46, 11, 39, 17, 18, 36, 6, 54, 2, 7, 5, 19, 21, 11, 23, 20, 8, 7, 10, 49, 15, 15, 0, 2, 33, 26, 33, 25, 0, 2, 6, 30, 30, 5, 0, 5, 43, 24, 39, 32, 1, 6, 18, 0, 35, 10, 4, 28, 36, 27, 31, 45, 41, 3, 38, 0, 13, 27, 12, 44, 36, 31, 49, 55, 37, 4, 36, 0, 2, 44, 6, 26, 26, 40, 50, 36, 15, 8, 31, AN
0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 18, 6, 5, 6, 0, 1, 3, 1, 25, 16, 0, 3, 16, 14, 10, 3, 3, 16, 6, 9, 15, 1, 0, 2, 12, 10, 4, 0, 1, 6, 12, 6, 17, 1, 0, 0, 28, 42, 44, 25, 6, 29, 41, 49, 27, 8, 1, 6, 23, 35, 25, 24, 39, 25, 28, 29, 19, 36, 29, 7, 36, 32, 37, 41, 7, 47, 34, 38, 37, 33, 30, 12, 5, 13, 16, 25, 22, 29, 11, 13, 5, 22, 31, 8, 14, 7, 11, 40, 27, 48, 16, 9, 10, 29, 36, 11, 14, 4, 9, 40, 27, 31, 10, 3, 12, 33, 43, 31, 17, 17, 31, 38, 53, 44, 45, 21, 13, 40, 2, 39, 21, 24, 43, 40, 44, 41, 46, 38, 10, 35, 8, 41, 30, 27, 19, 28, 49, 51, 31, 22, 41, 15, AN
