@RELATION	'emotions'

@ATTRIBUTE	eyes	NUMERIC
@ATTRIBUTE	eyes2	NUMERIC
@ATTRIBUTE	mouth	NUMERIC
@ATTRIBUTE	s_0	NUMERIC
@ATTRIBUTE	s_1	NUMERIC
@ATTRIBUTE	s_2	NUMERIC
@ATTRIBUTE	s_3	NUMERIC
@ATTRIBUTE	s_4	NUMERIC
@ATTRIBUTE	cpt_0	NUMERIC
@ATTRIBUTE	cpt_1	NUMERIC
@ATTRIBUTE	cpt_2	NUMERIC
@ATTRIBUTE	cpt_3	NUMERIC
@ATTRIBUTE	cpt_4	NUMERIC
@ATTRIBUTE	cpt_5	NUMERIC
@ATTRIBUTE	cpt_6	NUMERIC
@ATTRIBUTE	cpt_7	NUMERIC
@ATTRIBUTE	cpt_8	NUMERIC
@ATTRIBUTE	cpt_9	NUMERIC
@ATTRIBUTE	cpt_10	NUMERIC
@ATTRIBUTE	cpt_11	NUMERIC
@ATTRIBUTE	cpt_12	NUMERIC
@ATTRIBUTE	cpt_13	NUMERIC
@ATTRIBUTE	cpt_14	NUMERIC
@ATTRIBUTE	cpt_15	NUMERIC
@ATTRIBUTE	cpt_16	NUMERIC
@ATTRIBUTE	cpt_17	NUMERIC
@ATTRIBUTE	cpt_18	NUMERIC
@ATTRIBUTE	cpt_19	NUMERIC
@ATTRIBUTE	cpt_20	NUMERIC
@ATTRIBUTE	cpt_21	NUMERIC
@ATTRIBUTE	cpt_22	NUMERIC
@ATTRIBUTE	cpt_23	NUMERIC
@ATTRIBUTE	cpt_24	NUMERIC
@ATTRIBUTE	cpt_25	NUMERIC
@ATTRIBUTE	cpt_26	NUMERIC
@ATTRIBUTE	cpt_27	NUMERIC
@ATTRIBUTE	cpt_28	NUMERIC
@ATTRIBUTE	cpt_29	NUMERIC
@ATTRIBUTE	cpt_30	NUMERIC
@ATTRIBUTE	cpt_31	NUMERIC
@ATTRIBUTE	cpt_32	NUMERIC
@ATTRIBUTE	cpt_33	NUMERIC
@ATTRIBUTE	cpt_34	NUMERIC
@ATTRIBUTE	cpt_35	NUMERIC
@ATTRIBUTE	cpt_36	NUMERIC
@ATTRIBUTE	cpt_37	NUMERIC
@ATTRIBUTE	cpt_38	NUMERIC
@ATTRIBUTE	cpt_39	NUMERIC
@ATTRIBUTE	cpt_40	NUMERIC
@ATTRIBUTE	cpt_41	NUMERIC
@ATTRIBUTE	cpt_42	NUMERIC
@ATTRIBUTE	cpt_43	NUMERIC
@ATTRIBUTE	cpt_44	NUMERIC
@ATTRIBUTE	cpt_45	NUMERIC
@ATTRIBUTE	cpt_46	NUMERIC
@ATTRIBUTE	cpt_47	NUMERIC
@ATTRIBUTE	cpt_48	NUMERIC
@ATTRIBUTE	cpt_49	NUMERIC
@ATTRIBUTE	cpt_50	NUMERIC
@ATTRIBUTE	cpt_51	NUMERIC
@ATTRIBUTE	cpt_52	NUMERIC
@ATTRIBUTE	cpt_53	NUMERIC
@ATTRIBUTE	cpt_54	NUMERIC
@ATTRIBUTE	cpt_55	NUMERIC
@ATTRIBUTE	cpt_56	NUMERIC
@ATTRIBUTE	cpt_57	NUMERIC
@ATTRIBUTE	cpt_58	NUMERIC
@ATTRIBUTE	cpt_59	NUMERIC
@ATTRIBUTE	cpt_60	NUMERIC
@ATTRIBUTE	cpt_61	NUMERIC
@ATTRIBUTE	cpt_62	NUMERIC
@ATTRIBUTE	cpt_63	NUMERIC
@ATTRIBUTE	cpt_64	NUMERIC
@ATTRIBUTE	cpt_65	NUMERIC
@ATTRIBUTE	cpt_66	NUMERIC
@ATTRIBUTE	cpt_67	NUMERIC
@ATTRIBUTE	cpt_68	NUMERIC
@ATTRIBUTE	cpt_69	NUMERIC
@ATTRIBUTE	cpt_70	NUMERIC
@ATTRIBUTE	cpt_71	NUMERIC
@ATTRIBUTE	cpt_72	NUMERIC
@ATTRIBUTE	cpt_73	NUMERIC
@ATTRIBUTE	cpt_74	NUMERIC
@ATTRIBUTE	cpt_75	NUMERIC
@ATTRIBUTE	cpt_76	NUMERIC
@ATTRIBUTE	cpt_77	NUMERIC
@ATTRIBUTE	cpt_78	NUMERIC
@ATTRIBUTE	cpt_79	NUMERIC
@ATTRIBUTE	cpt_80	NUMERIC
@ATTRIBUTE	cpt_81	NUMERIC
@ATTRIBUTE	cpt_82	NUMERIC
@ATTRIBUTE	cpt_83	NUMERIC
@ATTRIBUTE	cpt_84	NUMERIC
@ATTRIBUTE	cpt_85	NUMERIC
@ATTRIBUTE	cpt_86	NUMERIC
@ATTRIBUTE	cpt_87	NUMERIC
@ATTRIBUTE	cpt_88	NUMERIC
@ATTRIBUTE	cpt_89	NUMERIC
@ATTRIBUTE	cpt_90	NUMERIC
@ATTRIBUTE	cpt_91	NUMERIC
@ATTRIBUTE	cpt_92	NUMERIC
@ATTRIBUTE	cpt_93	NUMERIC
@ATTRIBUTE	cpt_94	NUMERIC
@ATTRIBUTE	cpt_95	NUMERIC
@ATTRIBUTE	cpt_96	NUMERIC
@ATTRIBUTE	cpt_97	NUMERIC
@ATTRIBUTE	cpt_98	NUMERIC
@ATTRIBUTE	cpt_99	NUMERIC
@ATTRIBUTE	cpt_100	NUMERIC
@ATTRIBUTE	cpt_101	NUMERIC
@ATTRIBUTE	cpt_102	NUMERIC
@ATTRIBUTE	cpt_103	NUMERIC
@ATTRIBUTE	cpt_104	NUMERIC
@ATTRIBUTE	cpt_105	NUMERIC
@ATTRIBUTE	cpt_106	NUMERIC
@ATTRIBUTE	cpt_107	NUMERIC
@ATTRIBUTE	cpt_108	NUMERIC
@ATTRIBUTE	cpt_109	NUMERIC
@ATTRIBUTE	cpt_110	NUMERIC
@ATTRIBUTE	cpt_111	NUMERIC
@ATTRIBUTE	cpt_112	NUMERIC
@ATTRIBUTE	cpt_113	NUMERIC
@ATTRIBUTE	cpt_114	NUMERIC
@ATTRIBUTE	cpt_115	NUMERIC
@ATTRIBUTE	cpt_116	NUMERIC
@ATTRIBUTE	cpt_117	NUMERIC
@ATTRIBUTE	cpt_118	NUMERIC
@ATTRIBUTE	cpt_119	NUMERIC
@ATTRIBUTE	cpt_120	NUMERIC
@ATTRIBUTE	cpt_121	NUMERIC
@ATTRIBUTE	cpt_122	NUMERIC
@ATTRIBUTE	cpt_123	NUMERIC
@ATTRIBUTE	cpt_124	NUMERIC
@ATTRIBUTE	cpt_125	NUMERIC
@ATTRIBUTE	cpt_126	NUMERIC
@ATTRIBUTE	cpt_127	NUMERIC
@ATTRIBUTE	cpt_128	NUMERIC
@ATTRIBUTE	cpt_129	NUMERIC
@ATTRIBUTE	cpt_130	NUMERIC
@ATTRIBUTE	cpt_131	NUMERIC
@ATTRIBUTE	cpt_132	NUMERIC
@ATTRIBUTE	cpt_133	NUMERIC
@ATTRIBUTE	cpt_134	NUMERIC
@ATTRIBUTE	cpt_135	NUMERIC
@ATTRIBUTE	cpt_136	NUMERIC
@ATTRIBUTE	cpt_137	NUMERIC
@ATTRIBUTE	cpt_138	NUMERIC
@ATTRIBUTE	cpt_139	NUMERIC
@ATTRIBUTE	cpt_140	NUMERIC
@ATTRIBUTE	cpt_141	NUMERIC
@ATTRIBUTE	cpt_142	NUMERIC
@ATTRIBUTE	cpt_143	NUMERIC
@ATTRIBUTE	cpt_144	NUMERIC
@ATTRIBUTE	cpt_145	NUMERIC
@ATTRIBUTE	cpt_146	NUMERIC
@ATTRIBUTE	cpt_147	NUMERIC
@ATTRIBUTE	cpt_148	NUMERIC
@ATTRIBUTE	cpt_149	NUMERIC
@ATTRIBUTE	cpt_150	NUMERIC
@ATTRIBUTE	cpt_151	NUMERIC
@ATTRIBUTE	cpt_152	NUMERIC
@ATTRIBUTE	cpt_153	NUMERIC
@ATTRIBUTE	cpt_154	NUMERIC
@ATTRIBUTE	cpt_155	NUMERIC
@ATTRIBUTE	cpt_156	NUMERIC
@ATTRIBUTE	cpt_157	NUMERIC
@ATTRIBUTE	cpt_158	NUMERIC
@ATTRIBUTE	cpt_159	NUMERIC
@ATTRIBUTE	cpt_160	NUMERIC
@ATTRIBUTE	cpt_161	NUMERIC
@ATTRIBUTE	cpt_162	NUMERIC
@ATTRIBUTE	cpt_163	NUMERIC
@ATTRIBUTE	cpt_164	NUMERIC
@ATTRIBUTE	cpt_165	NUMERIC
@ATTRIBUTE	cpt_166	NUMERIC
@ATTRIBUTE	cpt_167	NUMERIC
@ATTRIBUTE	cpt_168	NUMERIC
@ATTRIBUTE	cpt_169	NUMERIC
@ATTRIBUTE	cpt_170	NUMERIC
@ATTRIBUTE	cpt_171	NUMERIC
@ATTRIBUTE	cpt_172	NUMERIC
@ATTRIBUTE	cpt_173	NUMERIC
@ATTRIBUTE	cpt_174	NUMERIC
@ATTRIBUTE	cpt_175	NUMERIC
@ATTRIBUTE	cpt_176	NUMERIC
@ATTRIBUTE	cpt_177	NUMERIC
@ATTRIBUTE	cpt_178	NUMERIC
@ATTRIBUTE	cpt_179	NUMERIC
@ATTRIBUTE	cpt_180	NUMERIC
@ATTRIBUTE	cpt_181	NUMERIC
@ATTRIBUTE	cpt_182	NUMERIC
@ATTRIBUTE	cpt_183	NUMERIC
@ATTRIBUTE	cpt_184	NUMERIC
@ATTRIBUTE	cpt_185	NUMERIC
@ATTRIBUTE	cpt_186	NUMERIC
@ATTRIBUTE	cpt_187	NUMERIC
@ATTRIBUTE	cpt_188	NUMERIC
@ATTRIBUTE	cpt_189	NUMERIC
@ATTRIBUTE	cpt_190	NUMERIC
@ATTRIBUTE	cpt_191	NUMERIC
@ATTRIBUTE	cpt_192	NUMERIC
@ATTRIBUTE	cpt_193	NUMERIC
@ATTRIBUTE	cpt_194	NUMERIC
@ATTRIBUTE	cpt_195	NUMERIC
@ATTRIBUTE	emotion	{AN,DI,FE,HA,NE,SA,SU}

@DATA
0, 0, 0, 0, 0, 0, 0, 0, 2, 37, 11, 16, 21, 9, 13, 2, 5, 5, 11, 25, 23, 36, 13, 26, 10, 5, 10, 3, 16, 14, 8, 21, 12, 12, 25, 31, 19, 25, 6, 10, 23, 19, 5, 14, 7, 9, 11, 9, 24, 12, 25, 35, 16, 41, 36, 37, 19, 33, 4, 27, 20, 12, 12, 22, 28, 26, 8, 23, 33, 16, 33, 22, 41, 40, 46, 32, 6, 26, 39, 11, 23, 29, 42, 22, 40, 25, 23, 47, 46, 35, 19, 29, 40, 9, 8, 15, 27, 28, 26, 9, 37, 22, 18, 17, 2, 30, 33, 27, 8, 5, 17, 22, 18, 2, 30, 24, 13, 18, 13, 30, 14, 36, 14, 9, 12, 30, 26, 26, 39, 9, 9, 10, 24, 52, 0, 25, 18, 7, 5, 30, 29, 29, 34, 7, 8, 12, 35, 7, 6, 18, 22, 11, 6, 10, 22, 17, 3, 6, 9, 14, 30, 5, 1, 33, 21, 14, 19, 46, 41, 48, 44, 19, 13, 6, 25, 32, 30, 7, 25, 9, 15, 22, 27, 22, 29, 9, 7, 12, 0, 1, 32, 0, 2, 14, 9, 2, 7, 8, 4, 3, 9, 1, 0, 0, AN
0, 0, 0, 0, 0, 0, 0, 0, 6, 33, 5, 18, 15, 7, 9, 3, 2, 11, 12, 21, 28, 39, 14, 23, 13, 3, 10, 7, 11, 12, 9, 12, 12, 14, 14, 31, 15, 30, 7, 12, 17, 21, 5, 8, 7, 10, 13, 8, 23, 12, 32, 34, 15, 41, 37, 38, 22, 30, 5, 22, 23, 9, 11, 27, 27, 22, 5, 27, 48, 13, 30, 20, 41, 53, 42, 31, 8, 34, 43, 8, 18, 27, 38, 29, 37, 19, 34, 38, 42, 34, 20, 34, 38, 16, 7, 14, 33, 22, 30, 7, 31, 26, 18, 13, 4, 24, 32, 30, 11, 9, 14, 22, 17, 2, 38, 14, 14, 24, 10, 38, 3, 30, 18, 12, 10, 30, 39, 35, 39, 9, 12, 6, 32, 41, 5, 23, 19, 10, 10, 22, 21, 16, 41, 13, 8, 18, 31, 7, 9, 13, 20, 20, 8, 18, 21, 26, 9, 11, 7, 8, 28, 19, 14, 36, 24, 11, 18, 30, 37, 39, 38, 18, 18, 7, 11, 18, 28, 0, 20, 7, 8, 20, 28, 21, 18, 8, 5, 13, 0, 5, 29, 3, 1, 9, 9, 2, 14, 6, 5, 2, 6, 0, 0, 2, AN
0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 10, 14, 15, 13, 28, 17, 13, 15, 13, 18, 29, 21, 4, 13, 11, 16, 21, 22, 27, 13, 21, 16, 29, 17, 32, 20, 32, 6, 13, 17, 13, 19, 14, 18, 15, 21, 21, 20, 28, 33, 33, 16, 18, 14, 17, 22, 29, 26, 21, 32, 26, 19, 18, 53, 38, 24, 23, 36, 29, 28, 38, 22, 35, 18, 28, 37, 28, 34, 23, 28, 16, 32, 41, 9, 42, 3, 41, 17, 21, 39, 32, 35, 33, 12, 11, 17, 22, 25, 36, 8, 24, 28, 22, 12, 15, 39, 34, 16, 8, 14, 17, 12, 32, 4, 35, 23, 17, 19, 13, 36, 39, 21, 18, 21, 14, 19, 23, 7, 27, 23, 16, 19, 18, 47, 20, 39, 14, 18, 10, 28, 29, 8, 40, 13, 11, 19, 32, 10, 0, 45, 15, 15, 20, 33, 18, 17, 16, 31, 20, 15, 46, 2, 5, 32, 19, 12, 28, 37, 34, 31, 51, 35, 24, 10, 37, 4, 2, 11, 31, 22, 16, 12, 20, 38, 34, 15, 17, 27, 25, 8, 5, 5, 28, 13, 21, 20, 31, 26, 23, 27, 27, 41, 5, 7, AN
0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 16, 11, 9, 7, 3, 5, 7, 7, 8, 41, 10, 21, 37, 7, 14, 13, 14, 6, 4, 9, 4, 10, 17, 19, 18, 26, 28, 7, 11, 13, 10, 3, 5, 6, 4, 8, 19, 6, 25, 32, 3, 36, 12, 14, 17, 22, 12, 16, 10, 12, 16, 12, 28, 28, 0, 50, 14, 41, 41, 44, 40, 28, 44, 38, 37, 27, 31, 29, 0, 38, 3, 34, 41, 30, 25, 25, 21, 36, 33, 26, 33, 14, 11, 42, 4, 21, 18, 22, 31, 11, 26, 25, 30, 12, 25, 51, 13, 34, 4, 3, 15, 15, 40, 15, 33, 13, 16, 1, 23, 34, 1, 49, 9, 10, 9, 22, 17, 18, 43, 12, 9, 14, 29, 26, 0, 17, 24, 9, 17, 28, 29, 23, 45, 12, 23, 10, 32, 13, 4, 6, 29, 11, 7, 32, 24, 24, 19, 23, 15, 14, 29, 7, 6, 6, 23, 14, 19, 20, 49, 51, 51, 38, 18, 8, 28, 11, 5, 7, 44, 5, 17, 20, 11, 33, 19, 10, 14, 11, 46, 7, 3, 30, 18, 13, 10, 17, 23, 16, 25, 21, 7, 19, 23, 19, AN
0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 16, 5, 7, 4, 1, 4, 9, 13, 9, 40, 17, 16, 36, 0, 19, 13, 14, 8, 4, 5, 5, 10, 17, 22, 19, 23, 25, 12, 9, 15, 8, 4, 5, 6, 2, 8, 20, 8, 28, 34, 0, 45, 6, 14, 16, 24, 14, 13, 11, 12, 14, 13, 36, 27, 0, 45, 20, 36, 43, 43, 43, 30, 42, 43, 37, 24, 44, 14, 7, 43, 7, 43, 40, 32, 27, 27, 22, 40, 31, 23, 34, 18, 15, 38, 5, 17, 17, 20, 30, 13, 25, 20, 22, 2, 31, 44, 10, 39, 6, 5, 14, 11, 40, 18, 30, 12, 22, 6, 35, 21, 0, 34, 10, 6, 11, 27, 16, 19, 33, 11, 14, 11, 33, 21, 3, 12, 26, 11, 16, 22, 33, 25, 35, 16, 20, 11, 30, 3, 2, 6, 29, 6, 12, 31, 15, 34, 24, 19, 13, 10, 32, 9, 4, 5, 28, 12, 23, 15, 33, 32, 37, 27, 7, 12, 30, 10, 5, 24, 36, 7, 12, 28, 33, 35, 30, 17, 12, 19, 42, 9, 4, 30, 10, 14, 13, 15, 15, 10, 14, 22, 4, 21, 19, 21, AN
0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 15, 6, 6, 5, 0, 3, 9, 15, 12, 34, 7, 24, 35, 1, 12, 11, 13, 10, 3, 5, 10, 9, 16, 13, 12, 32, 28, 11, 6, 13, 6, 3, 5, 3, 1, 3, 15, 5, 29, 29, 3, 46, 7, 11, 14, 16, 9, 8, 11, 12, 18, 12, 32, 29, 0, 42, 21, 40, 38, 38, 41, 28, 46, 40, 37, 24, 33, 21, 13, 43, 6, 43, 41, 22, 24, 27, 18, 31, 21, 31, 27, 50, 14, 32, 6, 7, 9, 22, 28, 12, 27, 22, 33, 5, 17, 42, 7, 40, 2, 1, 17, 9, 45, 12, 32, 9, 10, 8, 26, 31, 0, 29, 13, 10, 10, 24, 13, 16, 36, 17, 7, 10, 29, 23, 2, 7, 29, 8, 20, 24, 32, 24, 43, 8, 18, 10, 30, 3, 4, 10, 27, 6, 11, 27, 11, 18, 28, 19, 12, 9, 33, 6, 6, 6, 36, 14, 17, 17, 27, 33, 34, 30, 20, 10, 37, 9, 7, 26, 29, 5, 17, 31, 35, 34, 33, 22, 12, 17, 32, 17, 4, 30, 2, 20, 13, 22, 17, 13, 17, 20, 15, 14, 14, 26, AN
0, 0, 0, 0, 0, 0, 0, 0, 16, 22, 8, 9, 4, 5, 2, 1, 0, 3, 10, 17, 12, 32, 22, 12, 18, 9, 14, 9, 4, 0, 2, 1, 10, 6, 20, 33, 28, 13, 9, 3, 4, 1, 2, 4, 3, 8, 8, 4, 26, 31, 34, 12, 23, 48, 50, 44, 13, 10, 9, 33, 45, 36, 10, 20, 19, 19, 5, 27, 43, 33, 28, 3, 35, 30, 23, 17, 19, 36, 34, 6, 21, 31, 37, 25, 45, 0, 43, 49, 44, 26, 13, 27, 25, 14, 8, 21, 32, 28, 34, 7, 31, 31, 19, 21, 3, 32, 33, 21, 12, 10, 13, 16, 20, 1, 34, 16, 14, 20, 8, 42, 37, 16, 13, 16, 10, 19, 32, 21, 34, 12, 8, 12, 21, 43, 11, 26, 13, 12, 11, 16, 39, 27, 50, 2, 9, 13, 35, 15, 12, 35, 12, 16, 18, 6, 12, 8, 15, 16, 11, 8, 22, 12, 22, 38, 7, 6, 24, 41, 35, 38, 40, 21, 13, 9, 39, 11, 12, 5, 17, 12, 20, 11, 32, 32, 15, 15, 13, 21, 0, 30, 0, 0, 9, 6, 12, 8, 17, 18, 12, 13, 19, 2, 0, 26, AN
0, 0, 0, 0, 0, 0, 0, 0, 18, 7, 20, 6, 7, 4, 7, 3, 1, 10, 3, 4, 11, 1, 3, 2, 11, 11, 2, 6, 9, 9, 17, 6, 7, 16, 10, 0, 0, 6, 13, 5, 10, 6, 2, 6, 7, 9, 7, 18, 13, 0, 5, 7, 11, 7, 12, 7, 4, 9, 14, 31, 27, 28, 6, 9, 38, 5, 18, 38, 43, 42, 27, 10, 34, 13, 24, 19, 17, 29, 40, 18, 14, 36, 43, 15, 30, 31, 26, 30, 41, 33, 12, 32, 43, 10, 19, 19, 18, 25, 21, 8, 29, 24, 21, 16, 4, 26, 41, 14, 5, 8, 10, 2, 28, 17, 17, 10, 2, 12, 12, 24, 43, 16, 10, 18, 6, 10, 35, 11, 40, 17, 5, 10, 5, 29, 29, 36, 13, 12, 3, 13, 37, 36, 25, 23, 7, 13, 12, 36, 1, 30, 13, 10, 13, 21, 24, 33, 35, 31, 29, 11, 16, 20, 0, 7, 29, 16, 26, 38, 23, 39, 45, 47, 34, 9, 35, 3, 3, 4, 35, 10, 28, 13, 23, 38, 46, 30, 20, 12, 32, 1, 2, 2, 27, 32, 15, 16, 19, 12, 15, 13, 20, 4, 25, 0, AN
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 6, 2, 1, 5, 4, 2, 0, 2, 2, 3, 0, 0, 0, 6, 11, 2, 3, 2, 8, 10, 10, 6, 12, 14, 0, 0, 6, 11, 6, 3, 1, 0, 6, 6, 3, 12, 15, 3, 2, 1, 1, 8, 23, 26, 17, 3, 5, 15, 29, 29, 30, 8, 3, 25, 11, 27, 17, 26, 26, 28, 5, 30, 11, 21, 12, 20, 30, 38, 12, 12, 39, 48, 17, 27, 26, 33, 22, 29, 28, 18, 25, 36, 8, 18, 14, 15, 21, 21, 5, 26, 15, 18, 20, 3, 20, 47, 10, 6, 6, 3, 1, 27, 16, 15, 12, 0, 6, 6, 26, 37, 20, 5, 5, 2, 9, 37, 14, 39, 21, 0, 1, 2, 33, 19, 30, 5, 1, 0, 11, 39, 28, 28, 22, 1, 5, 4, 34, 0, 26, 11, 5, 14, 21, 21, 24, 27, 32, 30, 6, 11, 27, 0, 4, 28, 11, 25, 38, 20, 33, 38, 43, 38, 7, 30, 5, 0, 0, 32, 12, 21, 11, 20, 45, 47, 38, 12, 9, 30, 1, 9, 18, 34, 24, 11, 21, 18, 7, 8, 14, 13, 2, 37, 33, AN
0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 7, 3, 6, 2, 0, 0, 3, 1, 23, 2, 34, 0, 1, 11, 12, 8, 6, 1, 2, 11, 6, 7, 9, 7, 29, 0, 1, 15, 11, 5, 5, 2, 1, 7, 10, 4, 13, 6, 30, 0, 0, 7, 23, 34, 21, 4, 5, 17, 33, 25, 15, 1, 27, 0, 0, 22, 21, 11, 29, 16, 16, 26, 12, 19, 35, 17, 37, 12, 4, 7, 48, 49, 16, 30, 30, 26, 38, 46, 23, 14, 52, 24, 4, 29, 11, 20, 25, 21, 18, 33, 21, 28, 22, 5, 66, 28, 8, 3, 7, 9, 10, 28, 16, 25, 0, 3, 8, 4, 40, 31, 7, 11, 4, 12, 21, 35, 19, 40, 8, 8, 5, 12, 43, 31, 8, 12, 6, 5, 22, 24, 26, 20, 9, 3, 10, 22, 25, 34, 33, 15, 6, 26, 24, 24, 41, 32, 31, 19, 12, 31, 8, 1, 35, 17, 13, 38, 39, 32, 37, 43, 46, 35, 6, 33, 1, 4, 31, 17, 14, 15, 22, 27, 54, 47, 26, 14, 19, 32, 3, 9, 23, 31, 20, 23, 20, 20, 9, 14, 12, 30, 34, 4, 2, AN
