@RELATION	'emotions'

@ATTRIBUTE	eyes	NUMERIC
@ATTRIBUTE	eyes2	NUMERIC
@ATTRIBUTE	mouth	NUMERIC
@ATTRIBUTE	s_0	NUMERIC
@ATTRIBUTE	s_1	NUMERIC
@ATTRIBUTE	s_2	NUMERIC
@ATTRIBUTE	s_3	NUMERIC
@ATTRIBUTE	s_4	NUMERIC
@ATTRIBUTE	cpt_0	NUMERIC
@ATTRIBUTE	cpt_1	NUMERIC
@ATTRIBUTE	cpt_2	NUMERIC
@ATTRIBUTE	cpt_3	NUMERIC
@ATTRIBUTE	emotion	{AN,DI,FE,HA,NE,SA,SU}

@DATA
0, 0, 0, 0, 0, 0, 0, 0, 1069, 1030, 884, 813, AN
0, 0, 0, 0, 0, 0, 0, 0, 1060, 1032, 872, 790, AN
0, 0, 0, 0, 0, 0, 0, 0, 1051, 1201, 1021, 1116, AN
0, 0, 0, 0, 0, 0, 0, 0, 943, 1034, 858, 1059, AN
0, 0, 0, 0, 0, 0, 0, 0, 956, 1040, 844, 992, AN
0, 0, 0, 0, 0, 0, 0, 0, 874, 1009, 842, 1001, AN
0, 0, 0, 0, 0, 0, 0, 0, 991, 925, 868, 923, AN
0, 0, 0, 0, 0, 0, 0, 0, 791, 766, 897, 1044, AN
0, 0, 0, 0, 0, 0, 0, 0, 657, 670, 830, 983, AN
0, 0, 0, 0, 0, 0, 0, 0, 634, 920, 977, 1011, AN
0, 0, 0, 0, 0, 0, 0, 0, 628, 885, 1004, 1072, AN
0, 0, 0, 0, 0, 0, 0, 0, 782, 849, 844, 929, AN
0, 0, 0, 0, 0, 0, 0, 0, 795, 759, 926, 1078, AN
0, 0, 0, 0, 0, 0, 0, 0, 859, 801, 911, 943, AN
0, 0, 0, 0, 0, 0, 0, 0, 750, 1117, 941, 740, AN
0, 0, 0, 0, 0, 0, 0, 0, 652, 993, 672, 491, AN
0, 0, 0, 0, 0, 0, 0, 0, 807, 982, 924, 923, AN
0, 0, 0, 0, 0, 0, 0, 0, 1018, 1021, 966, 928, DI
0, 0, 0, 0, 0, 0, 0, 0, 1017, 965, 913, 914, DI
0, 0, 0, 0, 0, 0, 0, 0, 764, 881, 925, 894, DI
0, 0, 0, 0, 0, 0, 0, 0, 762, 815, 805, 952, DI
0, 0, 0, 0, 0, 0, 0, 0, 750, 788, 838, 970, DI
0, 0, 0, 0, 0, 0, 0, 0, 1156, 1187, 1113, 1148, DI
0, 0, 0, 0, 0, 0, 0, 0, 1134, 1090, 960, 1076, DI
0, 0, 0, 0, 0, 0, 0, 0, 1224, 1164, 1034, 1072, DI
0, 0, 0, 0, 0, 0, 0, 0, 1148, 1190, 1001, 1085, DI
0, 0, 0, 0, 0, 0, 0, 0, 1101, 1184, 992, 1109, DI
0, 0, 0, 0, 0, 0, 0, 0, 1123, 1228, 858, 957, DI
